,pseudogene,heat-stress,SoxL2N,fatty-acid-related,Riboflavin,niacin-transport,cold-stress,carbon-fixation,Fe-S-lipoylation,HMG-CoA,Purine,XylR-SoxM,YtrA,LysM,Phenylacetate,single_gene_1,single_gene_2,translation-1,UV-tfb3,Arginine,Pyroglutamate,translation-2,unchar-1,sulfur-assimilation,FadR-KO,Cobalamin,4-HPA,ArnRAB,single_gene_3,FadR,SoxLABCD,TCA-BCAA,UV-related,DARC,Replication,translation-related,Quinolinate,aromatic-degradation,Ammonium-Uptake,carotenoid,single_gene_4,Thiamin,unchar-3,single_gene_5,Gly-Ser-Thr
SACI_RS00005,0.018157359,-0.004032502,0.021454766,0.017211142,-0.00264246,0.030882308,-0.010209652,0.005067317,-0.015520644,-0.005039093,0.026914691,0.01017986,0.003780275,-0.014961014,0.00114239,-0.003506209,-0.000719578,0.04337968,0.003819716,-0.010738973,-0.001634532,0.007892521,-0.012623664,-0.002367156,0.006966148,-0.006324236,0.006046171,-0.002472378,-0.006190832,-0.018010723,-0.020939684,0.010492163,0.102901843,-0.006641576,0.033793081,-0.03743386,0.002817255,-0.014295381,0.011294968,-0.019027285,-0.017299777,-0.001917456,0.000183705,0.020472967,-0.016606214
SACI_RS00010,0.008170517,-0.019228106,0.003805478,0.013028809,-0.008329898,0.019745482,0.00446839,-0.003345319,-0.011892039,0.000975686,0.013251472,0.016193998,0.009385334,-0.002077519,0.004539213,-0.034314995,-0.000272193,0.035622708,-0.002298428,0.014684858,0.009984317,0.013190156,-0.01610946,-0.00650575,-0.006057907,-0.013981963,0.040123864,-0.008401415,-2.35E-05,-0.013233904,-0.017814125,-0.007637454,0.103983219,-0.024887336,0.035078757,-0.003969835,0.01599785,-0.022014728,0.005965933,-0.017778609,-0.024051859,0.011018738,0.011839688,-0.009822643,-0.038137471
SACI_RS00015,-0.020217915,0.01827158,-0.016921545,0.001663378,0.003298403,-0.001007574,0.020234419,0.008180641,-0.00639213,0.00462861,0.008918677,0.023467218,0.013221346,0.010471106,-0.003314222,0.003002323,0.009989662,-0.009445602,-0.014032,-0.031922081,-0.009495229,-0.002047384,0.006089802,0.009181994,-0.001056481,0.003806375,-0.008774266,0.014223827,0.005306908,-0.021290175,0.015215491,-0.005761543,0.012161945,0.013544077,-0.001486891,-0.012189767,0.008955068,-0.04433357,0.003142653,0.00480747,0.017681759,0.000234032,-0.007098855,-0.010832543,-0.022921862
SACI_RS00020,-0.015964124,0.014155713,-0.005739464,-0.031781228,0.003258493,-0.009697241,0.000247083,0.003691591,0.006043279,-0.019055659,-0.019630261,0.005603517,-0.006667691,0.010469218,0.006058749,-0.009109478,0.009667608,-0.006813581,-0.011298457,-0.017994899,0.010944592,-0.033727691,-0.014220707,-0.007862806,0.039447901,-0.022918771,-0.028650706,0.012523959,0.00625179,0.007083709,-0.016317067,-0.010290102,0.014175104,0.026188528,-0.006600025,0.041400951,0.016814406,0.00674693,0.014266999,-0.01946591,0.008732152,-0.005423485,-0.005472564,0.001778331,0.006126187
SACI_RS00025,0.002953386,0.030092526,-0.019713049,-0.012393384,-0.001232786,0.004908095,-0.000380521,0.009146645,-0.017438023,-0.011721904,-0.010105117,0.007224103,-0.001567953,0.003818656,0.00873187,0.011105771,0.001696405,-0.006992143,-0.003064357,-0.021610503,0.010260979,-0.002356001,-0.005861795,-0.007806147,0.004729221,-0.004647589,-0.015221004,0.008961722,-0.004219741,-0.001355245,-0.015037472,-0.018952517,0.005730599,0.022176658,-0.006974135,0.012761062,0.005960266,-0.007849715,0.012370529,-0.017204753,-0.007028071,-0.008190956,-0.007392714,-0.004902392,0.01278929
SACI_RS00030,0.013922653,0.243027124,0.001707337,0.049263225,0.048615023,-0.006679023,0.009015726,-0.010137883,-0.023802212,0.033491323,-0.047668686,-0.014767052,0.025290796,-0.035446412,0.041620786,-0.024863942,0.039754711,0.001163415,0.041546002,0.011279891,0.033587734,-0.031901583,-0.048562708,0.006600114,0.007657822,-0.011326674,-0.007897173,-0.020157351,-0.001232781,-0.010043993,0.023808796,0.024315451,-0.012942108,-0.01133244,0.009516239,0.001807872,-0.051353477,0.071423238,-0.007930967,0.009333233,0.010314764,-0.046960578,-0.018968235,0.001201343,0.025357034
SACI_RS11965,0.006447891,-0.014730896,-0.008886235,-0.003666731,0.010721432,-0.003634659,0.023042212,-0.024258606,-0.041616516,0.032163674,0.019875695,0.007626507,-0.010520214,-0.001078579,0.008618096,0.00090406,0.009356832,0.006918552,-0.010229239,0.012695819,0.006803944,-0.05568713,-0.001172275,-0.005340839,0.001235834,-0.006703378,0.009488637,0.017897022,0.016236605,0.000583799,-0.018685502,0.00490189,-0.025886642,0.008480824,-0.02070869,-0.007200022,-0.005003491,-0.018728095,0.020177316,-0.000256477,-0.004040102,-0.034201048,0.021822345,0.070560452,-0.02085894
SACI_RS00035,-0.005398309,-0.003872684,-0.001331842,-0.012354292,-0.006132546,0.001541087,-0.011811313,0.010857982,0.001236842,-0.000950247,0.004659224,-0.001022189,-0.014003393,0.004096147,0.011214526,0.015490936,-0.007669092,0.020608476,-0.011294021,0.015332529,0.006261794,-0.019210584,-0.018672239,-0.001694614,-0.00841008,0.002540854,-0.00084659,-0.001881398,0.004451657,-0.006703939,0.017174543,-0.014396825,-0.014429869,-0.008557857,-0.011713076,-0.004497326,0.003124254,0.005778685,0.002889741,-0.015588618,-0.004662315,0.0007281,-0.000422995,0.00326271,0.001719178
SACI_RS00040,-0.004388962,-0.010751879,0.004097136,-0.006542812,-0.007975716,0.006566347,-0.008647667,0.014351156,-0.006200547,0.010142789,-0.000294537,-0.001544444,-0.020704211,-0.012882135,0.005584788,0.012608492,-0.008667291,0.010858557,-0.00840745,0.013034746,-0.009969762,-0.011202305,-0.000141626,0.003037318,0.000221708,-0.001410589,0.00349585,-0.004082812,-0.004797273,-0.001562401,0.00897533,-0.009611954,-0.007541053,-0.00743947,-0.012096013,-0.005754911,0.003152402,0.005560189,0.004630352,-5.55E-05,-0.005936168,-0.003636048,0.004027252,0.001964643,0.001127777
SACI_RS00045,0.001150358,0.00204907,0.005928581,-0.012228979,0.002250485,0.015952374,-0.004255658,-0.007015242,0.000512597,0.019481257,0.002412355,0.015101967,-0.005955464,-0.002626113,-0.010345756,0.007865619,-0.007022941,-0.000936264,-0.00583705,0.007522787,-0.005600182,0.004937198,0.005366595,-0.003542584,-0.002152628,0.004702272,-0.012876143,0.013946612,-0.015261633,-0.001716162,-0.007327509,0.0147759,0.000404088,-0.003348712,-0.00888064,-0.022369705,-0.019619855,-0.007957297,0.001873459,0.004813382,-0.01004121,0.014581083,-0.00018669,0.017569092,-0.017185517
