,gene_id,database,kegg_id
0,XNR_RS30570,KEGG_ko,-
1,XNR_RS00010,KEGG_ko,-
2,XNR_RS00015,KEGG_ko,-
3,XNR_RS00020,KEGG_ko,-
4,XNR_RS00025,KEGG_ko,-
5,XNR_RS00030,KEGG_ko,-
8,XNR_RS00045,KEGG_ko,-
9,XNR_RS00050,KEGG_ko,-
10,XNR_RS00055,KEGG_ko,-
11,XNR_RS00060,KEGG_ko,-
12,XNR_RS00065,KEGG_ko,-
13,XNR_RS00070,KEGG_ko,-
15,XNR_RS00080,KEGG_ko,-
16,XNR_RS00085,KEGG_ko,-
17,XNR_RS00090,KEGG_ko,-
18,XNR_RS31480,KEGG_ko,-
19,XNR_RS00100,KEGG_ko,-
20,XNR_RS31485,KEGG_ko,-
21,XNR_RS00110,KEGG_ko,-
22,XNR_RS00115,KEGG_ko,-
23,XNR_RS00120,KEGG_ko,-
24,XNR_RS00125,KEGG_ko,-
32,XNR_RS00155,KEGG_ko,-
34,XNR_RS00165,KEGG_ko,-
35,XNR_RS00170,KEGG_ko,-
36,XNR_RS00175,KEGG_ko,-
37,XNR_RS00180,KEGG_ko,-
38,XNR_RS31495,KEGG_ko,-
39,XNR_RS00185,KEGG_ko,-
41,XNR_RS00195,KEGG_ko,-
42,XNR_RS00200,KEGG_ko,-
43,XNR_RS00205,KEGG_ko,-
44,XNR_RS00210,KEGG_ko,-
45,XNR_RS00215,KEGG_ko,-
47,XNR_RS00225,KEGG_ko,-
48,XNR_RS00230,KEGG_ko,-
49,XNR_RS00235,KEGG_ko,-
50,XNR_RS00240,KEGG_ko,-
52,XNR_RS00250,KEGG_ko,-
53,XNR_RS00255,KEGG_ko,-
55,XNR_RS00265,KEGG_ko,-
57,XNR_RS00275,KEGG_ko,-
58,XNR_RS00280,KEGG_ko,-
61,XNR_RS00295,KEGG_ko,-
63,XNR_RS00305,KEGG_ko,-
64,XNR_RS00310,KEGG_ko,-
65,XNR_RS00315,KEGG_ko,-
66,XNR_RS00320,KEGG_ko,-
68,XNR_RS00330,KEGG_ko,-
69,XNR_RS00335,KEGG_ko,-
70,XNR_RS00340,KEGG_ko,-
72,XNR_RS00350,KEGG_ko,-
73,XNR_RS00355,KEGG_ko,-
74,XNR_RS00360,KEGG_ko,-
75,XNR_RS00365,KEGG_ko,-
76,XNR_RS00370,KEGG_ko,-
77,XNR_RS00375,KEGG_ko,-
79,XNR_RS00385,KEGG_ko,-
82,XNR_RS00400,KEGG_ko,-
85,XNR_RS00415,KEGG_ko,-
86,XNR_RS00420,KEGG_ko,-
87,XNR_RS00425,KEGG_ko,-
89,XNR_RS00435,KEGG_ko,-
90,XNR_RS00440,KEGG_ko,-
92,XNR_RS00450,KEGG_ko,-
93,XNR_RS00455,KEGG_ko,-
94,XNR_RS00460,KEGG_ko,-
95,XNR_RS00465,KEGG_ko,-
96,XNR_RS00470,KEGG_ko,-
97,XNR_RS00475,KEGG_ko,-
99,XNR_RS00485,KEGG_ko,-
101,XNR_RS00495,KEGG_ko,-
102,XNR_RS00500,KEGG_ko,-
103,XNR_RS00505,KEGG_ko,-
105,XNR_RS00515,KEGG_ko,-
106,XNR_RS00520,KEGG_ko,-
107,XNR_RS00525,KEGG_ko,-
108,XNR_RS00530,KEGG_ko,-
110,XNR_RS00540,KEGG_ko,-
111,XNR_RS00545,KEGG_ko,-
113,XNR_RS00555,KEGG_ko,-
119,XNR_RS00575,KEGG_ko,-
