Orthogroup	Duplications (all)	Duplications (50% support)
OG0000000	86	86
OG0000001	44	28
OG0000002	59	59
OG0000003	55	55
OG0000004	22	13
OG0000005	21	16
OG0000006	27	22
OG0000007	21	14
OG0000008	20	12
OG0000009	17	12
OG0000010	14	11
OG0000011	27	21
OG0000012	24	20
OG0000013	17	11
OG0000014	27	25
OG0000015	18	11
OG0000016	14	12
OG0000017	12	7
OG0000018	15	14
OG0000019	18	15
OG0000020	12	10
OG0000021	24	24
OG0000022	25	25
OG0000023	12	9
OG0000024	16	13
OG0000025	13	12
OG0000026	19	15
OG0000027	9	6
OG0000028	10	9
OG0000029	8	8
OG0000030	13	8
OG0000031	13	12
OG0000032	14	13
OG0000033	9	6
OG0000034	17	13
OG0000035	10	8
OG0000036	12	6
OG0000037	8	7
OG0000038	9	7
OG0000039	20	20
OG0000040	15	11
OG0000041	8	3
OG0000042	8	4
OG0000043	9	8
OG0000044	19	19
OG0000045	6	4
OG0000046	10	7
OG0000047	9	7
OG0000048	6	5
OG0000049	7	4
OG0000050	18	18
OG0000051	7	7
OG0000052	8	6
OG0000053	9	7
OG0000054	13	13
OG0000055	10	9
OG0000056	9	4
OG0000057	8	6
OG0000058	11	11
OG0000059	14	12
OG0000060	16	16
OG0000061	7	4
OG0000062	9	9
OG0000063	10	9
OG0000064	10	8
OG0000065	10	8
OG0000066	11	10
OG0000067	4	4
OG0000068	5	5
OG0000069	15	15
OG0000070	5	4
OG0000071	5	5
OG0000072	6	6
OG0000073	8	7
OG0000074	4	4
OG0000075	10	10
OG0000076	9	4
OG0000077	9	8
OG0000078	6	6
OG0000079	8	7
OG0000080	5	3
OG0000081	4	2
OG0000082	7	6
OG0000083	6	5
OG0000084	5	4
OG0000085	11	11
OG0000086	8	4
OG0000087	8	7
OG0000088	13	13
OG0000089	14	14
OG0000090	10	8
OG0000091	6	6
OG0000092	10	10
OG0000093	3	2
OG0000094	5	4
OG0000095	4	3
OG0000096	5	5
OG0000097	8	8
OG0000098	6	6
OG0000099	8	7
OG0000100	3	2
OG0000101	12	12
OG0000102	13	13
OG0000103	8	7
OG0000104	6	3
OG0000105	8	5
OG0000106	4	3
OG0000107	5	0
OG0000108	7	6
OG0000109	5	4
OG0000110	5	4
OG0000111	8	8
OG0000112	10	10
OG0000113	5	3
OG0000114	5	4
OG0000115	4	3
OG0000116	4	3
OG0000117	4	3
OG0000118	4	2
OG0000119	4	3
OG0000120	5	3
OG0000121	8	6
OG0000122	12	12
OG0000123	10	10
OG0000124	10	9
OG0000125	6	2
OG0000126	11	11
OG0000127	3	2
OG0000128	3	2
OG0000129	6	6
OG0000130	11	11
OG0000131	4	4
OG0000132	8	8
OG0000133	3	2
OG0000134	2	2
OG0000135	6	5
OG0000136	4	3
OG0000137	6	3
OG0000138	5	3
OG0000139	3	3
OG0000140	5	2
OG0000141	6	5
OG0000142	4	4
OG0000143	6	4
OG0000144	4	3
OG0000145	8	8
OG0000146	8	8
OG0000147	11	11
OG0000148	4	1
OG0000149	10	10
OG0000150	6	5
OG0000151	3	1
OG0000152	5	3
OG0000153	6	6
OG0000154	4	4
OG0000155	4	4
OG0000156	4	4
OG0000157	5	3
OG0000158	4	4
OG0000159	3	3
OG0000160	2	1
OG0000161	4	1
OG0000162	2	2
OG0000163	3	2
OG0000164	7	7
OG0000165	5	3
OG0000166	3	2
OG0000167	5	5
OG0000168	4	4
OG0000169	5	5
OG0000170	3	2
OG0000171	4	3
OG0000172	4	4
OG0000173	6	6
OG0000174	4	3
OG0000175	2	1
OG0000176	3	3
OG0000177	3	2
OG0000178	3	3
OG0000179	3	2
OG0000180	4	3
OG0000181	5	5
OG0000182	4	3
OG0000183	6	6
OG0000184	10	10
OG0000185	4	3
OG0000186	4	3
OG0000187	9	9
OG0000188	9	9
OG0000189	9	9
OG0000190	3	3
OG0000191	2	2
OG0000192	4	4
OG0000193	2	1
OG0000194	5	5
OG0000195	5	5
OG0000196	5	3
OG0000197	3	3
OG0000198	3	3
OG0000199	4	4
OG0000200	3	2
OG0000201	4	4
OG0000202	2	1
OG0000203	3	1
OG0000204	3	3
OG0000205	3	3
OG0000206	3	2
OG0000207	1	1
