	sample_id	strain	project	condition	notes	run	ReleaseDate	Type	sequencing_run	LibraryLayout	Platform	R1	R2	skip	reference_condition	passed_fastqc	passed_contamination_check	passed_reads_mapped_to_CDS	passed_global_correlation
135-Dmannitol	135-Dmannitol	J1074	PRECISE	D-mannitol	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_03	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_run_03/135_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_run_03/135_R2_001.fastq.gz	False	control	True	False	True	False
136-Dmannitol	136-Dmannitol	J1074	PRECISE	D-mannitol	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_03	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_run_03/136_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_run_03/136_R2_001.fastq.gz	False	control	True	False	True	False
138-Dcellobiose	138-Dcellobiose	J1074	PRECISE	D-cellobiose	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_03	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_run_03/138_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_run_03/138_R2_001.fastq.gz	False	control	True	True	True	True
140-Dcellobiose	140-Dcellobiose	J1074	PRECISE	D-cellobiose	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_03	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_run_03/140_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_run_03/140_R2_001.fastq.gz	False	control	True	True	True	True
145-Glycerol	145-Glycerol	J1074	PRECISE	Glycerol	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_03	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_run_03/145_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_run_03/145_R2_001.fastq.gz	False	control	True	False	False	False
146-Glycerol	146-Glycerol	J1074	PRECISE	Glycerol	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_03	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_run_03/146_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_run_03/146_R2_001.fastq.gz	False	control	True	False	False	False
149-LAlanine	149-LAlanine	J1074	PRECISE	L-Alanine	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_03	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_run_03/149_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_run_03/149_R2_001.fastq.gz	False	control	True	True	True	True
150-LAlanine	150-LAlanine	J1074	PRECISE	L-Alanine	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_03	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_run_03/150_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_run_03/150_R2_001.fastq.gz	False	control	True	True	True	True
155-Glucose	155-Glucose	J1074	PRECISE	Glucose	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_03	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_run_03/155_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_run_03/155_R2_001.fastq.gz	False	control	True	True	True	True
156-Glucose	156-Glucose	J1074	PRECISE	Glucose	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_03	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_run_03/156_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_run_03/156_R2_001.fastq.gz	False	control	True	True	True	True
