,species
salb_BGC-19-20 deletion,Sal
salb_Glutamine,Sal
salb_Prophages,Sal
salb_Surugamide repressor,Sal
salb_ArsR,Sal
salb_Paulomycin-1,Sal
salb_UC-1,Sal
salb_Cyclofaulknamycin-1,Sal
salb_Leucine,Sal
salb_UC-2,Sal
salb_ABC transporter,Sal
salb_Histidine,Sal
salb_UC-3,Sal
salb_Cysteine,Sal
salb_UC-4,Sal
salb_UC-5,Sal
salb_Minimycin deletion,Sal
salb_RpoH,Sal
salb_Isorenieratene/streptamidine,Sal
salb_Mannitol/xylose,Sal
salb_WhiH,Sal
salb_WblA,Sal
salb_Sucrose,Sal
salb_Sulfate,Sal
salb_Phosphate,Sal
salb_Ribosomal,Sal
salb_Phospholipid,Sal
salb_Glycerol,Sal
salb_RpoE,Sal
salb_Carbohydrate metabolism-1,Sal
salb_Phenylacetate,Sal
salb_WhiB3,Sal
salb_Potassium,Sal
salb_Mce transporters,Sal
salb_Nitrogen/Ammonia/Urea,Sal
salb_Stress,Sal
salb_Cyclofaulknamycin-2,Sal
salb_Cytochrome,Sal
salb_Transketolase,Sal
salb_Carbohydrate metabolism-2,Sal
salb_Fructose,Sal
salb_BGC-1 related,Sal
salb_UC-6,Sal
salb_zwf,Sal
salb_UC-7,Sal
salb_NRPS BGC-14 related,Sal
salb_Paulomycin-2,Sal
salb_Surugamide F,Sal
salb_Minimycin/dudomycin,Sal
salb_SigK,Sal
salb_Mms,Sal
salb_NDH,Sal
salb_SAL-2242,Sal
salb_araBAD,Sal
salb_LAP/Thiopeptide BGC-11,Sal
salb_Cell membrane,Sal
salb_Candicidin/antimycin,Sal
salb_DNA damage,Sal
salb_SigE,Sal
salb_Glycosyltransferase,Sal
salb_Lipid metabolism,Sal
salb_Large genome deletion,Sal
salb_SGR PTMs,Sal
salb_Iron acquisition,Sal
salb_RpoS,Sal
salb_UC-8,Sal
salb_Cellobiose,Sal
salb_Paulomycin-3,Sal
salb_Fatty Acid,Sal
salb_Nitrate,Sal
salb_Nucleotide,Sal
salb_Translation,Sal
salb_Cell motility,Sal
salb_Quorum sensing,Sal
salb_Serine protease,Sal
salb_Surugamide,Sal
salb_Amino acid transport,Sal
salb_UC-9,Sal
mtub_SigH,Mtu
mtub_Polyketide Synthase Complex,Mtu
mtub_IniR,Mtu
mtub_PyrR,Mtu
mtub_WhiB4,Mtu
mtub_DevR-1,Mtu
mtub_MarR,Mtu
mtub_GroEL-GroES Complex,Mtu
mtub_IdeR,Mtu
mtub_SigK,Mtu
mtub_RicR,Mtu
mtub_EccE1 KO,Mtu
mtub_Mycofactocin Synthesis Pathway,Mtu
mtub_SG_1,Mtu
mtub_SG_2,Mtu
mtub_BkaR,Mtu
mtub_Mce3R,Mtu
mtub_VirS,Mtu
mtub_Unc_1,Mtu
mtub_WhiB6,Mtu
mtub_FasR,Mtu
mtub_MprA,Mtu
mtub_SG_3,Mtu
mtub_PrpR,Mtu
mtub_Salicylate Induced,Mtu
mtub_Rv0078+Rv2034,Mtu
mtub_EspL KO,Mtu
mtub_Unc_2,Mtu
mtub_WhiB1,Mtu
mtub_Blal,Mtu
mtub_HPT-2b Induced,Mtu
mtub_ArgR,Mtu
mtub_Unc_3,Mtu
mtub_SG_4,Mtu
mtub_MbcA+Rv3249c+Rv3066,Mtu
mtub_Unc_4,Mtu
mtub_Fumarate Reductase,Mtu
mtub_Rv3095,Mtu
mtub_SG_5,Mtu
mtub_SigC,Mtu
mtub_KstR2,Mtu
mtub_Unc_5,Mtu
mtub_Nicotinate Metabolism,Mtu
mtub_LysG,Mtu
mtub_SG_6,Mtu
mtub_SigD,Mtu
mtub_Rv2621c,Mtu
mtub_SG_7,Mtu
mtub_Leucine Related,Mtu
mtub_Rv1828/SigH,Mtu
mtub_Unc_6,Mtu
mtub_PhoP,Mtu
mtub_DevR-2,Mtu
mtub_Rv1776c+WhiB4,Mtu
mtub_Unc_7,Mtu
mtub_WhiB7,Mtu
mtub_Fatty Acid Biosynthesis,Mtu
mtub_SG_8,Mtu
mtub_Zur,Mtu
mtub_Rv0576,Mtu
mtub_Rv0681,Mtu
mtub_Nucleic Acid Hydrolysis ,Mtu
mtub_Rv2488c,Mtu
mtub_SG_9,Mtu
mtub_Mce1R,Mtu
mtub_SG_10,Mtu
mtub_M-box,Mtu
mtub_Peptidoglycan Biosynthesis,Mtu
mtub_Sulfur Metabolism,Mtu
mtub_Rv0135+Rv1019,Mtu
mtub_Lsr2,Mtu
