__mclCluster,name,Function,AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Degree,Eccentricity,IsSingleNode,NeighborhoodConnectivity,NumberOfDirectedEdges,NumberOfUndirectedEdges,PartnerOfMultiEdgedNodePairs,Radiality,selected,SelfLoops,shared name,species,Stress,TopologicalCoefficient
1,ecol_Rhamnose,General,3.583941606,0.001846649,0.279022403,0,2,7,FALSE,43.5,0,2,0,0.96508187,FALSE,0,ecol_Rhamnose,Eco,3402,0.505952381
1,mtub_Unc_5,General,3.465328467,4.10E-04,0.288572933,0.666666667,4,7,FALSE,33.25,0,4,0,0.96668475,FALSE,0,mtub_Unc_5,Mtu,1050,0.319711538
1,mtub_SG_9,General,3.53649635,3.21E-04,0.282765738,0,2,6,FALSE,48,0,2,0,0.965723022,FALSE,0,mtub_SG_9,Mtu,1708,0.540229885
1,mtub_SG_10,General,3.651459854,0,0.273863068,0,1,7,FALSE,74,0,1,0,0.964169461,FALSE,0,mtub_SG_10,Mtu,0,0
1,ecol_UC-7,General,3.556569343,8.20E-04,0.281169831,0,2,7,FALSE,46,0,2,0,0.965451766,FALSE,0,ecol_UC-7,Eco,3406,0.529411765
1,sen_unchar-8,General,4.467153285,0,0.223856209,0,1,8,FALSE,18,0,1,0,0.953146577,FALSE,0,sen_unchar-8,Sen,0,0
1,pae_Singlet-1,General,3.534671533,0,0.282911719,1,2,6,FALSE,48,0,2,0,0.965747682,FALSE,0,pae_Singlet-1,Pae,0,0.551724138
1,ecol_Gluconate,General,3.22080292,0.022263064,0.310481586,0.241758242,14,6,FALSE,16.57142857,0,14,0,0.96998915,FALSE,0,ecol_Gluconate,Eco,38272,0.124597207
1,ecol_UC-9,General,3.538321168,0.002009523,0.282619907,0,3,7,FALSE,32.66666667,0,3,0,0.965698363,FALSE,0,ecol_UC-9,Eco,5868,0.359848485
1,sen_ula-Ascorbate,General,4.222627737,5.43E-04,0.23681936,0,2,7,FALSE,11.5,0,2,0,0.956450977,FALSE,0,sen_ula-Ascorbate,Sen,850,0.5
1,mtub_VirS,General,3.450729927,0.001692139,0.28979376,0.238095238,7,7,FALSE,23.14285714,0,7,0,0.966882028,FALSE,0,mtub_VirS,Mtu,4410,0.213618158
1,mtub_SG_3,General,3.52189781,0.008639609,0.283937824,0.166666667,4,7,FALSE,23.5,0,4,0,0.9659203,FALSE,0,mtub_SG_3,Mtu,9322,0.264367816
1,mtub_Rv3095,General,3.651459854,0,0.273863068,0,1,7,FALSE,74,0,1,0,0.964169461,FALSE,0,mtub_Rv3095,Mtu,0,0
1,salb_Transketolase,General,3.412408759,0.004725011,0.293048128,0.25,9,6,FALSE,16.33333333,0,9,0,0.967399882,FALSE,0,salb_Transketolase,Sal,6840,0.158415842
1,pae_MdcR,General,3.301094891,0.003665841,0.302929795,0.285714286,7,6,FALSE,24.71428571,0,7,0,0.968904123,FALSE,0,pae_MdcR,Pae,10080,0.196571429
