gene_id,BGC,Imodulon
XNR_RS00010,1.0,"Unknown-7, DNA Replication?"
XNR_RS00010,1.0,Unknown-9
XNR_RS00015,1.0,
XNR_RS00020,1.0,
XNR_RS00025,1.0,Nybomycin batch effect?
XNR_RS00030,1.0,"Unknown-7, DNA Replication?"
XNR_RS00035,1.0,
XNR_RS00040,1.0,
XNR_RS00045,1.0,
XNR_RS00050,1.0,Nuo Complex
XNR_RS00055,1.0,
XNR_RS00060,1.0,BGC-1 and 23 Related
XNR_RS00060,1.0,Unknown-17
XNR_RS00065,1.0,BGC-1 and 23 Related
XNR_RS00070,1.0,
XNR_RS00075,1.0,BGC-General
XNR_RS00075,1.0,BGC-1 and 23 Related
XNR_RS00075,1.0,Unknown-16
XNR_RS00080,1.0,BGC-General
XNR_RS00080,1.0,BGC-1 and 23 Related
XNR_RS00080,1.0,Unknown-16
XNR_RS00085,1.0,BGC-General
XNR_RS00085,1.0,BGC-1 and 23 Related
XNR_RS00090,1.0,BGC-General
XNR_RS00090,1.0,BGC-1 and 23 Related
XNR_RS00090,1.0,Unknown-15
XNR_RS00090,1.0,Unknown-17
XNR_RS31480,1.0,BGC-General
XNR_RS31480,1.0,BGC-1 and 23 Related
XNR_RS00100,1.0,BGC-General
XNR_RS00100,1.0,BGC-1 and 23 Related
XNR_RS31485,1.0,BGC-1 and 23 Related
XNR_RS00110,1.0,BGC-1 and 23 Related
XNR_RS31490,1.0,BGC-1 and 23 Related
XNR_RS00115,1.0,
XNR_RS00120,1.0,
XNR_RS00125,1.0,BGC-General
XNR_RS00125,1.0,Unknown-15
XNR_RS00125,1.0,Sugar Transport 2
XNR_RS00130,1.0,Fructose
XNR_RS00135,1.0,Fructose
XNR_RS00140,1.0,Fructose
XNR_RS00145,1.0,Fructose
XNR_RS00150,1.0,Fructose
XNR_RS00155,1.0,Nuo Complex
XNR_RS00155,1.0,Unknown-17
XNR_RS00160,1.0,
XNR_RS30400,1.0,Unknown-13
XNR_RS30400,1.0,Unknown-16
XNR_RS00165,1.0,
XNR_RS00170,1.0,"Del14, Unknown-5"
XNR_RS00170,1.0,SGR PTM-related
XNR_RS00175,1.0,SGR PTM-related
XNR_RS00180,1.0,Nybomycin batch effect?
XNR_RS31495,1.0,Nybomycin batch effect?
XNR_RS31495,1.0,Unknown-15
XNR_RS31495,1.0,Unknown-16
XNR_RS00185,1.0,Nybomycin batch effect?
XNR_RS00190,1.0,
XNR_RS00195,1.0,
XNR_RS00200,1.0,Unknown-6
XNR_RS00205,1.0,Unknown-6
XNR_RS00210,1.0,
XNR_RS00920,2.0,Unknown-2
XNR_RS00920,2.0,Unknown-11
XNR_RS00920,2.0,Unknown-14
XNR_RS00925,2.0,Cyclofaulknamycin
XNR_RS00925,2.0,Unknown-14
XNR_RS00930,2.0,
XNR_RS00935,2.0,
XNR_RS00940,2.0,BGC-13 Related
XNR_RS00940,2.0,Unknown-9
XNR_RS31500,2.0,Xylose Metabolism
XNR_RS31500,2.0,Unknown-17
XNR_RS00950,2.0,Xylose Metabolism
XNR_RS00950,2.0,SGR PTM-related
XNR_RS00955,2.0,Xylose Metabolism
XNR_RS00960,2.0,Unknown-12
XNR_RS00960,2.0,Unknown-15
XNR_RS00965,2.0,Unknown-2
XNR_RS00970,2.0,BGC-General
XNR_RS00970,2.0,Unknown-17
XNR_RS00975,2.0,SGR PTM-related
XNR_RS00980,2.0,SGR PTM-related
XNR_RS00985,2.0,SGR PTM-related
XNR_RS00990,2.0,SGR PTM-related
XNR_RS00990,2.0,Unknown-15
XNR_RS00995,2.0,SGR PTM-related
XNR_RS01000,2.0,SGR PTM-related
XNR_RS01005,2.0,BGC-General
XNR_RS01005,2.0,Unknown-15
XNR_RS01010,2.0,BGC-General
XNR_RS01015,2.0,Unknown-2
XNR_RS01015,2.0,"Del14, Unknown-5"
XNR_RS01015,2.0,BGC-13 Related
XNR_RS01015,2.0,BGC-General
