Orthogroup	Duplications (all)	Duplications (50% support)
OG0000000	48	25
OG0000001	86	86
OG0000002	55	53
OG0000003	59	59
OG0000004	31	25
OG0000005	24	16
OG0000006	32	25
OG0000007	32	25
OG0000008	25	18
OG0000009	24	21
OG0000010	21	14
OG0000011	24	18
OG0000012	25	17
OG0000013	21	11
OG0000014	22	18
OG0000015	19	13
OG0000016	19	11
OG0000017	20	15
OG0000018	17	12
OG0000019	23	16
OG0000020	23	21
OG0000021	15	13
OG0000022	14	6
OG0000023	25	22
OG0000024	15	10
OG0000025	18	12
OG0000026	27	18
OG0000027	14	8
OG0000028	15	11
OG0000029	14	11
OG0000030	14	13
OG0000031	15	6
OG0000032	15	9
OG0000033	23	19
OG0000034	15	8
OG0000035	14	14
OG0000036	13	12
OG0000037	12	8
OG0000038	24	24
OG0000039	16	12
OG0000040	25	25
OG0000041	16	14
OG0000042	13	9
OG0000043	7	6
OG0000044	10	9
OG0000045	10	3
OG0000046	13	11
OG0000047	13	9
OG0000048	11	8
OG0000049	10	5
OG0000050	10	9
OG0000051	9	6
OG0000052	10	3
OG0000053	10	8
OG0000054	6	3
OG0000055	11	3
OG0000056	9	9
OG0000057	20	20
OG0000058	10	8
OG0000059	10	7
OG0000060	6	5
OG0000061	5	3
OG0000062	8	2
OG0000063	19	19
OG0000064	6	4
OG0000065	6	4
OG0000066	11	7
OG0000067	4	2
OG0000068	13	13
OG0000069	13	9
OG0000070	18	18
OG0000071	9	8
OG0000072	6	3
OG0000073	8	5
OG0000074	6	4
OG0000075	10	7
OG0000076	5	3
OG0000077	5	2
OG0000078	7	7
OG0000079	5	4
OG0000080	9	8
OG0000081	9	5
OG0000082	4	4
OG0000083	8	6
OG0000084	5	3
OG0000085	8	6
OG0000086	11	9
OG0000087	7	6
OG0000088	7	7
OG0000089	10	6
OG0000090	8	4
OG0000091	8	6
OG0000092	5	4
OG0000093	6	4
OG0000094	4	3
OG0000095	4	4
OG0000096	10	8
OG0000097	7	7
OG0000098	9	8
OG0000099	14	12
OG0000100	5	5
OG0000101	6	5
OG0000102	10	9
OG0000103	5	1
OG0000104	7	6
OG0000105	5	4
OG0000106	7	7
OG0000107	5	3
OG0000108	7	6
OG0000109	5	3
OG0000110	3	2
OG0000111	8	8
OG0000112	6	3
OG0000113	7	4
OG0000114	9	9
OG0000115	10	8
OG0000116	4	2
OG0000117	8	8
OG0000118	8	7
OG0000119	11	10
OG0000120	9	5
OG0000121	6	5
OG0000122	7	5
OG0000123	13	13
OG0000124	4	2
OG0000125	10	10
OG0000126	6	3
OG0000127	8	7
OG0000128	8	6
OG0000129	10	9
OG0000130	9	8
OG0000131	8	6
OG0000132	8	8
OG0000133	11	11
OG0000134	13	13
OG0000135	14	14
OG0000136	10	5
OG0000137	13	13
OG0000138	14	14
OG0000139	5	4
OG0000140	6	3
OG0000141	2	2
OG0000142	2	2
OG0000143	5	4
OG0000144	8	6
OG0000145	6	4
OG0000146	5	3
OG0000147	7	4
OG0000148	8	8
OG0000149	6	3
OG0000150	5	5
OG0000151	4	4
OG0000152	5	4
OG0000153	4	3
OG0000154	6	3
OG0000155	5	1
OG0000156	5	2
OG0000157	6	5
OG0000158	4	2
OG0000159	4	3
OG0000160	8	8
OG0000161	4	3
OG0000162	6	4
OG0000163	5	2
OG0000164	10	10
OG0000165	6	5
OG0000166	10	10
OG0000167	5	4
OG0000168	6	6
OG0000169	12	12
OG0000170	8	4
OG0000171	5	5
OG0000172	11	11
OG0000173	6	4
