,gene,subject,PID,alnLength,mismatchCount,gapOpenCount,queryStart,queryEnd,subjectStart,subjectEnd,eVal,bitScore,gene_length,COV,BBH
51,XNR_RS00130,STM2837,33.735,249,160,4,5,251,5,250,1.87e-33,119.0,253,0.9841897233201581,<=>
66,XNR_RS00135,STM1326,37.011,281,172,5,2,279,4,282,1.19e-34,125.0,315,0.8920634920634921,<=>
101,XNR_RS00250,STM0212,45.199,427,222,5,12,432,7,427,1.57e-114,341.0,475,0.8989473684210526,<=>
129,XNR_RS00270,STM0666,27.632,532,323,22,30,533,14,511,3.16e-28,115.0,539,0.987012987012987,<=>
155,XNR_RS00325,STM0458,60.58,345,136,0,15,359,5,349,6.17e-159,447.0,365,0.9452054794520548,<=>
163,XNR_RS00345,STM2264,35.377,212,115,9,13,216,16,213,1.8499999999999998e-23,90.9,219,0.9680365296803652,<=>
210,XNR_RS00395,STM1555,35.347,331,200,5,17,338,3,328,9.879999999999999e-46,156.0,346,0.9566473988439307,<=>
225,XNR_RS00405,STM0856,38.7,323,175,10,5,315,4,315,2.2799999999999998e-48,161.0,320,1.009375,<=>
230,XNR_RS00410,STM1354,31.034,232,155,4,3,232,1,229,2.78e-19,81.6,261,0.8888888888888888,<=>
232,XNR_RS00420,STM2649,31.897,116,73,4,4,118,29,139,7.72e-09,47.8,118,0.9830508474576272,<=>
243,XNR_RS00445,STM3553,30.088,226,142,4,6,215,10,235,1.03e-16,73.9,233,0.9699570815450643,<=>
255,XNR_RS00510,STM3747,34.852,439,266,8,7,428,23,458,9.390000000000001e-70,226.0,465,0.9440860215053763,<=>
262,XNR_RS00550,STM0785,25.17,294,191,9,44,331,45,315,2.03e-17,79.0,344,0.8546511627906976,<=>
279,XNR_RS00595,STM0802,35.843,332,208,4,6,335,1,329,5.25e-56,182.0,335,0.991044776119403,<=>
334,XNR_RS00655,STM0194,34.921,630,380,14,65,688,78,683,5.0000000000000005e-70,238.0,690,0.9130434782608695,<=>
343,XNR_RS00660,STM0193,27.451,306,196,9,51,354,14,295,3.47e-26,103.0,354,0.864406779661017,<=>
437,XNR_RS00675,STM3016,36.123,454,270,10,21,462,16,461,7.75e-86,268.0,470,0.9659574468085106,<=>
461,XNR_RS00715,STM0368,50.909,275,133,2,13,285,8,282,3.24e-86,257.0,301,0.9136212624584718,<=>
463,XNR_RS00720,STM0369,38.965,367,212,5,12,373,22,381,1.5e-76,239.0,391,0.9386189258312021,<=>
483,XNR_RS00745,STM4421,54.93,497,219,2,15,507,6,501,0.0,546.0,507,0.980276134122288,<=>
509,XNR_RS00770,STM2166,29.851,804,452,21,14,771,17,754,1.8499999999999999e-90,298.0,808,0.995049504950495,<=>
520,XNR_RS00790,STM1430,36.061,330,201,6,15,336,3,330,1.02e-51,172.0,343,0.9620991253644315,<=>
854,XNR_RS00955,STM3660,31.517,422,254,13,8,405,1,411,1.5499999999999999e-46,165.0,476,0.8865546218487395,<=>
920,XNR_RS01065,STM3121,40.94,298,153,9,1,286,1,287,7.31e-58,185.0,301,0.9900332225913622,<=>
1156,XNR_RS01370,STM0758,40.199,301,167,6,1,299,1,290,5.2599999999999994e-61,194.0,312,0.9647435897435898,<=>
1158,XNR_RS01375,STM3039,37.87,169,99,4,25,190,8,173,8.75e-24,90.1,198,0.8535353535353535,<=>
1164,XNR_RS01405,STM3504,61.538,741,278,5,13,751,9,744,0.0,890.0,807,0.9182156133828996,<=>
1257,XNR_RS01430,STM3334,28.075,374,240,11,75,428,41,405,1.8100000000000002e-27,110.0,436,0.8577981651376146,<=>
1263,XNR_RS01465,STM2388,33.7,727,452,16,4,724,3,705,2.1299999999999997e-95,308.0,726,1.0013774104683195,<=>
1290,XNR_RS01515,STM2342,47.89,474,223,7,11,479,9,463,1.37e-129,383.0,532,0.8909774436090225,<=>
1446,XNR_RS01610,STM0704,41.579,190,97,3,15,201,7,185,2.9500000000000003e-35,120.0,205,0.926829268292683,<=>
1447,XNR_RS01615,STM0705,62.518,683,233,6,30,705,13,679,0.0,780.0,709,0.9633286318758815,<=>
1694,XNR_RS01810,STM2179,29.398,432,288,8,12,437,6,426,3.82e-31,121.0,454,0.9515418502202643,<=>
1724,XNR_RS01825,STM3881,39.568,139,74,1,1,129,1,139,3.98e-34,113.0,129,1.0775193798449612,<=>
1726,XNR_RS01830,STM3885,41.722,302,166,6,9,304,6,303,1.7e-45,153.0,305,0.9901639344262295,<=>
1751,XNR_RS01840,STM3882,45.935,492,262,4,5,493,2,492,1.63e-142,416.0,512,0.9609375,<=>
2058,XNR_RS01955,STM1193,39.441,322,176,5,4,314,3,316,3.84e-63,199.0,316,1.018987341772152,<=>
2059,XNR_RS01960,STM2574,24.764,424,283,9,20,438,6,398,1.5300000000000001e-27,110.0,463,0.9157667386609071,<=>
2061,XNR_RS01965,STM4038,32.353,272,168,5,5,273,17,275,4.4400000000000004e-32,117.0,280,0.9714285714285714,<=>
2062,XNR_RS01970,STM2425,48.562,313,160,1,12,323,7,319,1.98e-92,276.0,337,0.9287833827893175,<=>
2063,XNR_RS01975,STM2330,32.168,286,187,1,6,291,12,290,3.98e-38,134.0,293,0.9761092150170648,<=>
2097,XNR_RS01980,STM0006,30.867,473,289,11,50,511,24,469,1.3600000000000002e-57,196.0,516,0.9166666666666666,<=>
2122,XNR_RS02030,STM1577,50.526,1235,579,17,12,1224,2,1226,0.0,1229.0,1231,1.0032493907392364,<=>
2141,XNR_RS02035,STM1763,54.637,496,205,7,1,490,1,482,0.0,563.0,541,0.9168207024029574,<=>
2159,XNR_RS02045,STM1761,30.942,223,149,5,1,221,4,223,1.0700000000000001e-29,107.0,236,0.9449152542372882,<=>
2161,XNR_RS02050,STM1563,44.697,132,69,2,1,129,1,131,6.63e-29,100.0,141,0.9361702127659575,<=>
2164,XNR_RS02090,STM3269,43.605,172,87,6,2,171,4,167,6.06e-40,130.0,183,0.9398907103825137,<=>
2194,XNR_RS02165,STM1800,31.102,254,147,9,61,297,43,285,6.72e-21,88.2,312,0.8141025641025641,<=>
2336,XNR_RS02260,STM3119,44.056,143,79,1,4,146,21,162,1.02e-33,114.0,170,0.8411764705882353,<=>
2343,XNR_RS02280,STM0525,47.175,354,180,5,1,350,3,353,4.8600000000000004e-85,260.0,373,0.9490616621983914,<=>
2437,XNR_RS02295,STM1221,31.276,243,151,8,12,249,41,272,3.15e-28,105.0,249,0.9759036144578314,<=>
2541,XNR_RS02330,STM1659,46.203,158,75,3,16,163,9,166,3.58e-37,123.0,175,0.9028571428571428,<=>
2556,XNR_RS02355,STM1147,47.024,168,83,3,2,165,3,168,1.79e-43,139.0,169,0.9940828402366864,<=>
2567,XNR_RS02430,STM3551,33.715,611,337,14,1,585,1,569,1.34e-91,291.0,602,1.0149501661129567,<=>
2598,XNR_RS02475,STM0662,63.75,240,87,0,6,245,1,240,5.000000000000001e-103,296.0,247,0.97165991902834,<=>
2685,XNR_RS02490,STM1302,32.593,270,157,7,1,253,1,262,2.54e-36,127.0,259,1.0424710424710424,<=>
2696,XNR_RS02525,STM4377,46.602,515,268,5,8,519,5,515,3.1700000000000003e-144,424.0,545,0.944954128440367,<=>
3011,XNR_RS02575,STM0591,43.902,328,178,3,35,358,3,328,7.5799999999999995e-62,198.0,358,0.9162011173184358,<=>
3041,XNR_RS02605,STM1487,38.492,252,143,5,1,247,3,247,4.659999999999999e-42,144.0,314,0.802547770700637,<=>
3092,XNR_RS02720,STM1220,30.503,318,188,7,39,345,4,299,2.96e-18,81.6,390,0.8153846153846154,<=>
3182,XNR_RS02740,STM3602,31.163,215,146,2,17,229,6,220,2.51e-24,94.7,254,0.8464566929133859,<=>
3194,XNR_RS02745,STM4433,29.552,335,227,4,1,329,4,335,3.15e-47,160.0,334,1.0029940119760479,<=>
3202,XNR_RS02760,STM3790,37.864,206,110,2,7,212,2,189,5.1699999999999996e-30,107.0,234,0.8803418803418803,<=>
3235,XNR_RS02780,STM0523,34.292,452,283,6,14,454,3,451,3.79e-91,281.0,454,0.9955947136563876,<=>
3236,XNR_RS02785,STM4187,37.652,247,147,4,19,258,21,267,2.6299999999999997e-45,150.0,268,0.9216417910447762,<=>
3244,XNR_RS02815,STM4183,49.237,524,253,9,22,544,21,532,5.849999999999999e-172,494.0,546,0.9597069597069597,<=>
3245,XNR_RS02820,STM2094,37.952,166,103,0,16,181,14,179,1.9699999999999997e-40,133.0,200,0.83,<=>
3291,XNR_RS02900,STM1546,29.775,534,288,19,7,518,8,476,6.47e-43,157.0,547,0.9762340036563071,<=>
3295,XNR_RS02920,STM2095,52.265,287,136,1,2,288,5,290,3.08e-111,320.0,289,0.9930795847750865,<=>
3300,XNR_RS02925,STM3922,44.868,341,161,5,3,319,4,341,7.76e-96,285.0,331,1.0302114803625377,<=>
3313,XNR_RS02935,STM0598,44.531,256,129,3,6,260,7,250,3.3e-62,193.0,261,0.9808429118773946,<=>
3334,XNR_RS02950,STM2175,41.067,375,219,2,14,388,17,389,8.56e-92,278.0,389,0.9640102827763496,<=>
3335,XNR_RS02960,STM2773,26.969,419,247,9,1,415,1,364,2.73e-32,123.0,426,0.9835680751173709,<=>
3421,XNR_RS03110,STM3631,30.641,421,284,4,6,424,24,438,5.74e-58,194.0,449,0.9376391982182628,<=>
3424,XNR_RS03125,STM1097,39.535,129,56,4,9,135,28,136,1.1099999999999999e-23,86.7,135,0.9555555555555556,<=>
3425,XNR_RS03145,STM0518,34.241,257,152,5,7,262,3,243,2.86e-42,143.0,283,0.9081272084805654,<=>
3427,XNR_RS03150,STM3248,45.172,290,159,0,12,301,5,294,1.41e-79,241.0,301,0.9634551495016611,<=>
3433,XNR_RS03160,STM0517,71.622,592,167,1,1,592,1,591,0.0,895.0,593,0.9983136593591906,<=>
3441,XNR_RS03170,STM1350,36.154,520,314,10,25,537,25,533,1.46e-84,270.0,541,0.9611829944547134,<=>
3504,XNR_RS03285,STM1674,28.415,183,117,7,3,184,11,180,4.77e-10,53.9,210,0.8714285714285714,<=>
3506,XNR_RS03295,STM0935,54.291,571,258,2,3,573,2,569,0.0,631.0,580,0.9844827586206897,<=>
3518,XNR_RS03340,STM0154,37.238,478,275,11,1,465,1,466,9.31e-82,258.0,465,1.027956989247312,<=>
3545,XNR_RS03385,STM0709,35.684,468,259,15,1,441,1,453,4.3e-75,240.0,457,1.0240700218818382,<=>
3546,XNR_RS03390,STM0933,32.716,486,297,9,20,498,6,468,1.18e-74,241.0,524,0.9274809160305344,<=>
3653,XNR_RS03480,STM4322,29.221,154,103,3,16,165,6,157,3.2e-11,57.0,191,0.806282722513089,<=>
3654,XNR_RS03500,STM2947,28.273,527,314,18,74,559,52,555,1.29e-40,152.0,565,0.9327433628318584,<=>
3657,XNR_RS03510,STM2946,35.683,227,134,7,21,240,21,242,2.71e-32,115.0,241,0.941908713692946,<=>
3659,XNR_RS03520,STM2935,48.525,305,139,5,19,313,6,302,1.5499999999999999e-90,269.0,313,0.9744408945686901,<=>
3660,XNR_RS03525,STM2934,49.879,413,199,4,16,425,26,433,3.68e-131,384.0,450,0.9177777777777778,<=>
3757,XNR_RS03560,STM1341,45.0,180,80,2,2,162,4,183,2.47e-55,169.0,162,1.1111111111111112,<=>
3770,XNR_RS03610,STM1559,34.532,834,473,22,15,795,3,816,8.75e-119,377.0,829,1.006031363088058,<=>
3774,XNR_RS03625,STM1560,41.739,575,308,15,5,568,17,575,7.350000000000001e-125,377.0,588,0.9778911564625851,<=>
3784,XNR_RS03660,STM1291,45.902,122,64,1,10,131,18,137,2.39e-37,121.0,135,0.9037037037037037,<=>
3785,XNR_RS03665,STM0129,38.293,457,262,7,13,457,23,471,2.3800000000000002e-70,228.0,467,0.9785867237687366,<=>
3788,XNR_RS03680,STM3346,27.852,298,165,12,105,359,72,362,1.67e-15,73.9,372,0.8010752688172043,<=>
3810,XNR_RS03755,STM4167,40.286,350,202,4,12,354,2,351,4.99e-83,253.0,354,0.9887005649717514,<=>
3845,XNR_RS03805,STM0422,39.553,627,357,12,2,621,9,620,2.43e-149,443.0,641,0.9781591263650546,<=>
