,gene,subject,PID,alnLength,mismatchCount,gapOpenCount,queryStart,queryEnd,subjectStart,subjectEnd,eVal,bitScore,gene_length,COV,BBH
2,Rv0002,SCO3878,51.026,390,177,5,13,402,1,376,6.769999999999999e-131,379.0,402,0.9701492537313433,<=>
5,Rv0003,SCO3876,55.956,361,152,3,1,360,1,355,4.18e-131,379.0,385,0.9376623376623376,<=>
8,Rv0005,SCO3874,64.487,673,219,7,8,675,29,686,0.0,869.0,675,0.997037037037037,<=>
10,Rv0006,SCO3873,65.212,848,280,5,5,838,2,848,0.0,1116.0,838,1.0119331742243436,<=>
13,Rv0009,SCO3856,60.465,172,65,3,13,182,3,173,1.1e-69,207.0,182,0.945054945054945,<=>
17,Rv0011,SCO3854,31.183,93,55,4,1,93,1,84,1.19e-08,45.8,93,1.0,<=>
18,Rv0012,SCO3853,39.149,235,127,4,31,256,8,235,4.51e-47,154.0,262,0.8969465648854962,<=>
21,Rv0013,SCO3851,66.146,192,62,2,2,193,4,192,4.56e-85,249.0,232,0.8275862068965517,<=>
27,Rv0014,SCO3848,40.465,645,345,9,1,615,1,636,4.3200000000000005e-133,403.0,626,1.0303514376996805,<=>
99,Rv0016,SCO5301,42.339,496,268,10,1,489,1,485,5.98e-98,301.0,491,1.010183299389002,<=>
111,Rv0017,SCO3846,47.477,436,218,5,16,441,21,455,3.86e-112,337.0,469,0.929637526652452,<=>
115,Rv0018,SCO3845,41.445,526,226,13,4,472,1,501,3.3300000000000004e-103,317.0,514,1.0233463035019454,<=>
118,Rv0019,SCO3844,43.678,174,75,4,1,154,1,171,8.18e-39,127.0,155,1.1225806451612903,<=>
169,Rv0036,SCO4378,60.643,249,98,0,1,249,7,255,2.56e-97,284.0,257,0.9688715953307393,<=>
170,Rv0037,SCO3898,36.186,409,241,9,24,421,8,407,5.03e-46,162.0,441,0.927437641723356,<=>
171,Rv0038,SCO2948,46.703,182,96,1,22,202,12,193,2.22e-46,149.0,202,0.900990099009901,<=>
172,Rv0041,SCO2571,61.467,968,337,14,20,968,14,964,0.0,1108.0,969,0.9989680082559339,<=>
221,Rv0046,SCO3899,78.47,353,75,1,16,367,4,356,0.0,553.0,367,0.9618528610354223,<=>
234,Rv0050,SCO3901,33.579,679,351,20,12,619,39,688,9.15e-81,270.0,678,1.0014749262536873,<=>
243,Rv0051,SCO3902,36.015,522,270,12,11,522,1,468,1.1500000000000001e-73,241.0,560,0.9321428571428572,<=>
244,Rv0052,SCO6747,49.708,171,84,1,1,171,26,194,9.22e-31,109.0,187,0.9144385026737968,<=>
255,Rv0053,SCO3906,68.75,96,30,0,1,96,1,96,1.95e-45,139.0,96,1.0,<=>
257,Rv0054,SCO2683,35.252,139,88,2,4,142,3,139,5.16e-17,71.6,164,0.8475609756097561,<=>
260,Rv0056,SCO3909,51.333,150,70,3,1,150,1,147,1.4100000000000002e-47,149.0,152,0.9868421052631579,<=>
270,Rv0063,SCO4134,33.402,482,280,13,25,473,48,521,7.46e-62,208.0,479,1.0062630480167014,<=>
275,Rv0064,SCO5204,38.344,978,519,19,14,975,21,930,0.0,636.0,979,0.9989785495403473,<=>
276,Rv0066,SCO7000,58.209,737,305,2,7,743,5,738,0.0,888.0,745,0.9892617449664429,<=>
358,Rv0069,SCO5469,56.344,465,189,6,1,461,1,455,1.9899999999999998e-170,484.0,461,1.0086767895878526,<=>
359,Rv0070,SCO5470,72.17,424,114,3,1,424,1,420,0.0,554.0,425,0.9976470588235294,<=>
364,Rv0072,SCO1368,21.628,393,244,12,2,347,1,376,6.28e-05,42.4,349,1.1260744985673352,<=>
536,Rv0074,SCO4196,29.587,436,213,18,18,398,6,402,1.75e-14,72.4,411,1.0608272506082725,<=>
549,Rv0077,SCO5986,35.165,273,167,7,1,269,1,267,5e-39,135.0,276,0.9891304347826086,<=>
576,Rv0078,SCO7303,28.824,170,103,4,15,179,3,159,8.06e-05,39.7,201,0.845771144278607,<=>
583,Rv0080,SCO0214,46.512,129,62,3,19,145,10,133,2.55e-22,84.3,152,0.8486842105263158,<=>
588,Rv0081,SCO3722,58.182,110,45,1,3,112,2,110,9.16e-41,129.0,114,0.9649122807017544,<=>
619,Rv0089,SCO2653,29.208,202,133,5,3,196,22,221,1.22e-12,62.0,197,1.0253807106598984,<=>
635,Rv0091,SCO5431,27.632,228,137,9,4,226,9,213,1.11e-05,43.5,255,0.8941176470588236,<=>
764,Rv0106,SCO3426,30.387,362,189,10,26,351,36,370,1.19e-21,93.2,398,0.9095477386934674,<=>
776,Rv0110,SCO3855,46.725,229,104,4,6,216,46,274,1.26e-51,167.0,249,0.9196787148594378,<=>
799,Rv0117,SCO0925,31.786,280,180,5,1,276,1,273,1.03e-20,88.2,314,0.89171974522293,<=>
874,Rv0120,SCO1528,61.149,731,257,5,1,710,1,725,0.0,870.0,714,1.0238095238095237,<=>
896,Rv0126,SCO7334,70.922,564,161,1,22,585,2,562,0.0,850.0,601,0.9384359400998337,<=>
911,Rv0127,SCO5441,40.592,473,209,13,15,453,25,459,1.67e-86,270.0,455,1.0395604395604396,<=>
