,gene,subject,PID,alnLength,mismatchCount,gapOpenCount,queryStart,queryEnd,subjectStart,subjectEnd,eVal,bitScore,gene_length,COV,BBH
0,BSU_00010,STM3838,43.939,462,227,8,5,443,3,455,9.06e-135,393.0,446,1.0358744394618835,<=>
2,BSU_00020,STM3837,26.649,379,261,7,1,376,1,365,1.77e-46,160.0,378,1.0026455026455026,<=>
3,BSU_00040,STM3836,24.259,371,264,5,1,369,1,356,1.03e-33,125.0,370,1.0027027027027027,<=>
7,BSU_00070,STM2272,53.27,841,357,3,8,813,7,846,0.0,894.0,821,1.0243605359317904,<=>
9,BSU_00090,STM2511,55.967,486,209,3,5,487,3,486,1.84e-178,507.0,488,0.9959016393442623,<=>
19,BSU_00130,STM0963,51.636,428,199,2,1,421,1,427,1.27e-152,436.0,425,1.0070588235294118,<=>
32,BSU_00200,STM0485,40.566,106,59,2,2,107,4,105,1.54e-19,74.3,107,0.9906542056074766,<=>
33,BSU_00210,STM0486,44.724,199,109,1,1,198,1,199,9.89e-62,187.0,198,1.005050505050505,<=>
43,BSU_00280,STM1200,34.742,213,132,4,1,209,1,210,7.37e-36,122.0,212,1.0047169811320755,<=>
50,BSU_00360,STM3263,41.633,245,140,2,9,250,6,250,8.95e-57,181.0,292,0.839041095890411,<=>
51,BSU_00380,STM2155,28.797,698,442,14,1,664,1,677,7.05e-86,280.0,664,1.0512048192771084,<=>
58,BSU_00390,STM1202,37.984,258,155,2,1,255,2,257,8.8e-63,195.0,255,1.011764705882353,<=>
61,BSU_00420,STM0090,33.086,269,168,3,19,287,8,264,8.21e-43,145.0,292,0.9212328767123288,<=>
65,BSU_00480,STM4458,48.438,128,63,1,1,125,1,128,9.38e-40,126.0,125,1.024,<=>
68,BSU_00500,STM3862,43.421,456,244,6,7,456,9,456,3.9200000000000004e-122,361.0,456,1.0,<=>
71,BSU_00510,STM1780,51.447,311,148,3,9,316,3,313,1.1700000000000001e-110,321.0,317,0.9810725552050473,<=>
73,BSU_00530,STM1783,38.824,170,102,2,3,170,13,182,1.2599999999999999e-30,108.0,188,0.9042553191489362,<=>
74,BSU_00550,STM1216,36.949,1088,626,16,30,1091,19,1072,0.0,706.0,1177,0.9243840271877655,<=>
90,BSU_00670,STM0236,26.714,423,255,15,20,427,16,398,6.42e-28,112.0,472,0.8961864406779662,<=>
92,BSU_00680,STM0170,51.163,172,81,2,2,171,1,171,2.3399999999999998e-60,182.0,180,0.9555555555555556,<=>
94,BSU_00690,STM3296,51.741,603,272,7,6,601,3,593,0.0,606.0,637,0.9466248037676609,<=>
97,BSU_00710,STM3498,24.092,303,194,9,2,290,7,287,9.26e-17,75.9,291,1.041237113402062,<=>
100,BSU_00730,STM2430,53.376,311,128,7,6,305,8,312,2.9e-93,276.0,308,1.0097402597402598,<=>
106,BSU_00740,STM1824,35.059,425,256,5,41,461,45,453,5.85e-78,247.0,470,0.9042553191489362,<=>
110,BSU_00750,STM3469,58.602,186,77,0,1,186,1,186,1.65e-87,252.0,194,0.9587628865979382,<=>
116,BSU_00770,STM3295,41.603,262,145,3,27,281,17,277,5.65e-65,202.0,285,0.9192982456140351,<=>
117,BSU_00780,STM3206,28.07,114,81,1,1,114,2,114,1.9e-10,51.6,120,0.95,<=>
118,BSU_00790,STM0183,47.015,134,70,1,4,136,3,136,2.07e-33,113.0,167,0.8023952095808383,<=>
120,BSU_00810,STM3384,38.365,318,193,3,2,318,1,316,8.89e-74,228.0,333,0.954954954954955,<=>
123,BSU_00820,STM3040,54.082,490,222,3,10,497,14,502,0.0,535.0,499,0.9819639278557114,<=>
133,BSU_00870,STM4579,47.484,457,232,6,1,452,1,454,1.59e-147,426.0,458,0.9978165938864629,<=>
134,BSU_00900,STM2930,35.78,218,133,4,6,220,11,224,2.9e-37,127.0,232,0.9396551724137931,<=>
135,BSU_00910,STM2929,63.057,157,58,0,2,158,1,157,2.16e-62,186.0,158,0.9936708860759493,<=>
136,BSU_00920,STM2415,36.798,481,277,6,4,481,2,458,1.78e-116,348.0,483,0.9958592132505176,<=>
142,BSU_00940,STM0537,44.304,474,237,4,3,464,2,460,5.1e-134,392.0,466,1.0171673819742488,<=>
144,BSU_00960,STM4369,44.55,211,105,5,41,245,39,243,5.6e-58,181.0,249,0.8473895582329317,<=>
152,BSU_00990,STM3727,32.653,49,33,0,1,49,5,53,0.000116,32.7,49,1.0,<=>
153,BSU_01010,STM4148,43.75,176,95,2,3,176,7,180,2.1199999999999998e-52,162.0,177,0.9943502824858758,<=>
154,BSU_01020,STM4149,67.606,142,45,1,1,141,1,142,1.7800000000000002e-66,195.0,141,1.0070921985815602,<=>
155,BSU_01030,STM4150,51.304,230,112,0,1,230,1,230,6.94e-75,224.0,232,0.9913793103448276,<=>
156,BSU_01040,STM4151,34.722,144,94,0,1,144,1,144,2.9000000000000004e-27,97.8,166,0.8674698795180723,<=>
157,BSU_01050,STM4152,55.285,123,53,1,1,123,1,121,7.55e-27,93.6,123,1.0,<=>
166,BSU_01080,STM4154,50.219,1141,483,13,7,1109,17,1110,0.0,1120.0,1199,0.9516263552960801,<=>
168,BSU_01100,STM3448,67.883,137,31,1,1,137,1,124,5.73e-61,181.0,138,0.9927536231884058,<=>
169,BSU_01110,STM3447,55.769,156,69,0,1,156,1,156,1.26e-67,199.0,156,1.0,<=>
170,BSU_01120,STM3446,61.143,700,259,5,1,687,1,700,0.0,841.0,692,1.0115606936416186,<=>
180,BSU_01130,STM4146,76.904,394,89,2,1,394,1,392,0.0,607.0,396,0.9949494949494949,<=>
189,BSU_01150,STM3441,65.686,102,35,0,1,102,1,102,2.26e-47,144.0,102,1.0,<=>
190,BSU_01160,STM3440,50.242,207,101,2,4,208,3,209,8.01e-62,189.0,209,0.9904306220095693,<=>
191,BSU_01170,STM3439,43.455,191,107,1,17,207,12,201,9.4e-51,160.0,207,0.9227053140096618,<=>
193,BSU_01190,STM3437,59.489,274,108,3,1,274,1,271,1.02e-113,325.0,277,0.9891696750902527,<=>
194,BSU_01200,STM3436,69.88,83,25,0,1,83,1,83,1.56e-41,128.0,92,0.9021739130434783,<=>
195,BSU_01210,STM3435,53.636,110,51,0,1,110,1,110,5.24e-37,118.0,113,0.9734513274336283,<=>
196,BSU_01220,STM3434,58.654,208,85,1,1,207,1,208,2.7e-90,262.0,218,0.9541284403669725,<=>
197,BSU_01230,STM3433,59.701,134,53,1,1,134,1,133,1.1299999999999999e-52,160.0,144,0.9305555555555556,<=>
198,BSU_01240,STM3432,40.0,60,36,0,1,60,1,60,2.49e-09,45.4,66,0.9090909090909091,<=>
199,BSU_01250,STM3431,55.696,79,35,0,8,86,6,84,7.68e-28,93.6,87,0.9080459770114943,<=>
200,BSU_01260,STM3430,65.041,123,42,1,1,122,1,123,2.22e-52,158.0,122,1.0081967213114753,<=>
201,BSU_01270,STM3429,46.0,100,52,2,3,101,5,103,7.48e-25,87.4,103,0.970873786407767,<=>
202,BSU_01280,STM3428,59.777,179,72,0,1,179,1,179,4.77e-86,248.0,179,1.0,<=>
204,BSU_01300,STM3426,48.855,131,65,2,1,131,1,129,1.85e-40,129.0,132,0.9924242424242424,<=>
205,BSU_01310,STM3425,48.864,176,89,1,1,176,1,175,1.38e-53,166.0,179,0.9832402234636871,<=>
207,BSU_01330,STM3423,54.819,166,75,0,1,166,1,166,6.89e-60,181.0,166,1.0,<=>
208,BSU_01340,STM3422,47.458,59,30,1,1,58,1,59,7.46e-12,51.2,59,1.0,<=>
209,BSU_01350,STM3421,47.917,144,74,1,1,144,1,143,1.4e-34,115.0,146,0.9863013698630136,<=>
