locus_tag,GOs
XNR_RS30570,-
XNR_RS00010,-
XNR_RS00015,-
XNR_RS00020,-
XNR_RS00025,-
XNR_RS00030,-
XNR_RS00035,-
XNR_RS00040,-
XNR_RS00045,-
XNR_RS00050,-
XNR_RS00055,-
XNR_RS00060,-
XNR_RS00065,-
XNR_RS00070,-
XNR_RS00075,-
XNR_RS00080,-
XNR_RS00085,-
XNR_RS00090,-
XNR_RS31480,-
XNR_RS00100,-
XNR_RS31485,-
XNR_RS00110,-
XNR_RS00115,-
XNR_RS00120,-
XNR_RS00125,-
XNR_RS00130,-
XNR_RS00135,-
XNR_RS00140,-
XNR_RS00145,-
XNR_RS00150,-
XNR_RS00155,-
XNR_RS00160,-
XNR_RS00165,-
XNR_RS00170,-
XNR_RS00175,-
XNR_RS00180,-
XNR_RS31495,-
XNR_RS00185,-
XNR_RS00190,-
XNR_RS00195,-
XNR_RS00200,-
XNR_RS00205,-
XNR_RS00210,-
XNR_RS00215,-
XNR_RS00220,-
XNR_RS00225,-
XNR_RS00230,-
XNR_RS00235,-
XNR_RS00240,-
XNR_RS00245,-
XNR_RS00250,-
XNR_RS00255,-
XNR_RS00260,-
XNR_RS00265,-
XNR_RS00270,GO:0000030
XNR_RS00270,GO:0003674
XNR_RS00270,GO:0003824
XNR_RS00270,GO:0004582
XNR_RS00270,GO:0005575
XNR_RS00270,GO:0005618
XNR_RS00270,GO:0005622
XNR_RS00270,GO:0005623
XNR_RS00270,GO:0005737
XNR_RS00270,GO:0005829
XNR_RS00270,GO:0005886
XNR_RS00270,GO:0006629
XNR_RS00270,GO:0006643
XNR_RS00270,GO:0006664
XNR_RS00270,GO:0008150
XNR_RS00270,GO:0008152
XNR_RS00270,GO:0008610
XNR_RS00270,GO:0009058
XNR_RS00270,GO:0009247
XNR_RS00270,GO:0009605
XNR_RS00270,GO:0009607
XNR_RS00270,GO:0009987
XNR_RS00270,GO:0016020
XNR_RS00270,GO:0016740
XNR_RS00270,GO:0016757
XNR_RS00270,GO:0016758
XNR_RS00270,GO:0030312
XNR_RS00270,GO:0035821
XNR_RS00270,GO:0043207
XNR_RS00270,GO:0044003
XNR_RS00270,GO:0044237
XNR_RS00270,GO:0044238
XNR_RS00270,GO:0044249
XNR_RS00270,GO:0044255
XNR_RS00270,GO:0044403
XNR_RS00270,GO:0044419
XNR_RS00270,GO:0044424
XNR_RS00270,GO:0044444
XNR_RS00270,GO:0044464
XNR_RS00270,GO:0046467
XNR_RS00270,GO:0050896
XNR_RS00270,GO:0051701
XNR_RS00270,GO:0051704
XNR_RS00270,GO:0051707
XNR_RS00270,GO:0051817
XNR_RS00270,GO:0052031
XNR_RS00270,GO:0052173
XNR_RS00270,GO:0052200
XNR_RS00270,GO:0052255
XNR_RS00270,GO:0052552
XNR_RS00270,GO:0052553
XNR_RS00270,GO:0052564
XNR_RS00270,GO:0052572
XNR_RS00270,GO:0070085
XNR_RS00270,GO:0071704
XNR_RS00270,GO:0071944
XNR_RS00270,GO:0075136
XNR_RS00270,GO:0097502
XNR_RS00270,GO:1901135
XNR_RS00270,GO:1901137
XNR_RS00270,GO:1901576
XNR_RS00270,GO:1903509
XNR_RS00275,-
XNR_RS00280,-
XNR_RS00285,-
XNR_RS00290,-
XNR_RS00295,-
XNR_RS00300,-
XNR_RS00305,-
XNR_RS00310,-
XNR_RS00315,-
XNR_RS00320,-
XNR_RS00325,-
XNR_RS00330,-
XNR_RS00335,-
XNR_RS00340,-
XNR_RS00345,-
XNR_RS00350,-
XNR_RS00355,-
XNR_RS00360,-
XNR_RS00365,-
XNR_RS00370,-
XNR_RS00375,-
XNR_RS00380,-
XNR_RS00385,-
XNR_RS00390,-
XNR_RS00395,-
XNR_RS00400,-
XNR_RS00405,-
XNR_RS00410,-
XNR_RS00415,-
XNR_RS00420,-
XNR_RS00425,-
XNR_RS00430,-
XNR_RS00435,-
XNR_RS00440,-
XNR_RS00445,-
XNR_RS00450,-
XNR_RS00455,-
XNR_RS00460,-
XNR_RS00465,-
XNR_RS00470,-
XNR_RS00475,-
XNR_RS00480,-
XNR_RS00485,-
XNR_RS00490,-
XNR_RS00495,-
XNR_RS00500,-
XNR_RS00505,-
XNR_RS00510,-
XNR_RS00515,-
XNR_RS00520,-
XNR_RS00525,-
XNR_RS00530,-
XNR_RS00535,GO:0003674
XNR_RS00535,GO:0003824
XNR_RS00535,GO:0004844
XNR_RS00535,GO:0006139
XNR_RS00535,GO:0006259
XNR_RS00535,GO:0006281
XNR_RS00535,GO:0006284
XNR_RS00535,GO:0006285
XNR_RS00535,GO:0006725
XNR_RS00535,GO:0006807
XNR_RS00535,GO:0006950
XNR_RS00535,GO:0006974
XNR_RS00535,GO:0008150
XNR_RS00535,GO:0008152
XNR_RS00535,GO:0009987
XNR_RS00535,GO:0016787
XNR_RS00535,GO:0016798
XNR_RS00535,GO:0016799
XNR_RS00535,GO:0019104
XNR_RS00535,GO:0033554
XNR_RS00535,GO:0034641
XNR_RS00535,GO:0043170
XNR_RS00535,GO:0044237
XNR_RS00535,GO:0044238
XNR_RS00535,GO:0044260
XNR_RS00535,GO:0046483
XNR_RS00535,GO:0050896
XNR_RS00535,GO:0051716
XNR_RS00535,GO:0071704
XNR_RS00535,GO:0090304
XNR_RS00535,GO:0097506
XNR_RS00535,GO:0097510
XNR_RS00535,GO:0140097
XNR_RS00535,GO:1901360
XNR_RS00540,-
XNR_RS00545,-
XNR_RS00550,-
XNR_RS00555,-
XNR_RS00560,GO:0003674
XNR_RS00560,GO:0003824
