,gene,subject,PID,alnLength,mismatchCount,gapOpenCount,queryStart,queryEnd,subjectStart,subjectEnd,eVal,bitScore,gene_length,COV,BBH
12,PA0035,SACI_RS06805,24.255,235,160,8,15,242,2,225,5.55e-13,63.2,268,0.8768656716417911,<=>
13,PA0036,SACI_RS06800,30.055,366,200,10,58,391,72,413,3.7400000000000003e-35,130.0,402,0.9104477611940298,<=>
58,PA0113,SACI_RS07800,34.495,287,173,6,15,298,11,285,9.14e-29,107.0,304,0.944078947368421,<=>
92,PA0136,SACI_RS03205,25.149,505,298,22,37,508,99,556,7.42e-18,82.4,523,0.9655831739961759,<=>
132,PA0143,SACI_RS00210,33.648,318,192,9,38,348,2,307,6.199999999999999e-48,160.0,350,0.9085714285714286,<=>
134,PA0164,SACI_RS02070,29.374,463,275,16,22,474,7,427,1.95e-44,160.0,538,0.8605947955390335,<=>
219,PA0219,SACI_RS05235,38.106,454,273,6,46,495,31,480,9.98e-96,295.0,496,0.9153225806451613,<=>
232,PA0223,SACI_RS01090,25.172,290,201,8,8,293,3,280,9.12e-14,66.2,293,0.9897610921501706,<=>
233,PA0226,SACI_RS01795,29.719,249,157,6,1,240,1,240,3.0499999999999998e-24,94.7,283,0.8798586572438163,<=>
234,PA0227,SACI_RS01790,29.911,224,128,9,8,222,4,207,3.26e-16,72.0,260,0.8615384615384616,<=>
256,PA0230,SACI_RS03360,29.754,447,285,8,14,447,12,442,2.04e-57,192.0,459,0.9738562091503268,<=>
278,PA0244,SACI_RS00890,31.154,260,154,9,8,267,10,244,3.15e-25,97.4,284,0.9154929577464789,<=>
280,PA0246,SACI_RS05635,27.309,498,320,18,13,498,8,475,1.17e-35,134.0,501,0.9940119760479041,<=>
296,PA0250,SACI_RS01405,35.897,117,67,4,13,125,6,118,2.14e-14,62.0,144,0.8125,<=>
304,PA0254,SACI_RS09935,30.924,498,302,13,6,490,1,469,1.63e-61,204.0,496,1.0040322580645162,<=>
