All-Genes	Genes in same transcription unit	Accession-1	Left-End-Position	Right-End-Position	Product	Regulation - transcription factor regulators of gene	Common-Name
aac(6')	XNR_RS08245 // XNR_RS08240 // aac(6')	XNR_RS08235	1969211	1969684	aminoglycoside 6'-N-acetyltransferase		aac(6')
aceA	aceB // aceA	XNR_RS15675	3608333	3609616	isocitrate lyase		aceA
aceB	aceB	XNR_RS00700	172797	174353	malate synthase A		aceB
aceB	aceB // aceA	XNR_RS15680	3609831	3611393	malate synthase A		aceB
aceE	aceE	XNR_RS23270	5341189	5343894	pyruvate dehydrogenase (acetyl-transferring), homodimeric type		aceE
aceE	aceE	XNR_RS22430	5146202	5148934	pyruvate dehydrogenase (acetyl-transferring), homodimeric type		aceE
acnA	acnA	XNR_RS03845	916575	919322	aconitate hydratase AcnA		acnA
acs	acs	XNR_RS13480	3096679	3098676	acetate--CoA ligase		acs
adhP	adhP	XNR_RS27770	6319716	6320729	alcohol dehydrogenase AdhP		adhP
afsQ1	afsQ1 // XNR_RS19790 // XNR_RS19785	XNR_RS19795	4541654	4542331	two-component system response regulator AfsQ1		afsQ1
alaS	ruvX // alaS // XNR_RS26520 // XNR_RS26515	XNR_RS26525	6052375	6055047	alanine--tRNA ligase		alaS
alaS	alaS	XNR_RS15980	3670399	3673068	alanine--tRNA ligase		alaS
alc	alc	XNR_RS21300	4892154	4893314	allantoicase		alc
ald	ald	XNR_RS25020	5738823	5739938	alanine dehydrogenase		ald
allB	allB	XNR_RS02780	665061	666425	allantoinase AllB		allB
alr	alr	XNR_RS18750	4304167	4305348	alanine racemase		alr
amaP	amaP // XNR_RS24700 // XNR_RS24695 // XNR_RS24690	XNR_RS24705	5669098	5669685	alkaline shock response membrane anchor protein AmaP		amaP
araA	araB // araA // araD	XNR_RS16430	3753116	3754627	L-arabinose isomerase		araA
araB	araB // araA // araD	XNR_RS16435	3754674	3756398	ribulokinase		araB
araD	araB // araA // araD	XNR_RS16425	3752400	3753119	L-ribulose-5-phosphate 4-epimerase AraD		araD
arc	arc	XNR_RS25675	5881747	5883513	proteasome ATPase		arc
arfB	arfB	XNR_RS11990	2808705	2809172	aminoacyl-tRNA hydrolase		arfB
argB	XNR_RS26115 // XNR_RS26110 // argB // argJ // XNR_RS26095	XNR_RS26105	5974129	5975028	acetylglutamate kinase		argB
argF	XNR_RS04030 // argF	XNR_RS04025	959425	960453	ornithine carbamoyltransferase		argF
argG	argG	XNR_RS07510	1799850	1801295	argininosuccinate synthase		argG
argH	argH	XNR_RS26150	5983324	5984763	argininosuccinate lyase		argH
argJ	XNR_RS26115 // XNR_RS26110 // argB // argJ // XNR_RS26095	XNR_RS26100	5972922	5974073	bifunctional glutamate N-acetyltransferase/amino-acid acetyltransferase ArgJ		argJ
argS	argS	XNR_RS17545	4057163	4058962	arginine--tRNA ligase		argS
aroA	rsgA // aroA	XNR_RS07885	1882623	1883975	3-phosphoshikimate 1-carboxyvinyltransferase		aroA
aroC	XNR_RS26555 // XNR_RS26550 // aroC // XNR_RS26540	XNR_RS26545	6058472	6059656	chorismate synthase		aroC
aroQ	aroQ	XNR_RS24315	5583447	5583920	type II 3-dehydroquinate dehydratase		aroQ
arsB	XNR_RS15960 // arsB // XNR_RS15950	XNR_RS15955	3665427	3666536	ACR3 family arsenite efflux transporter		arsB
aspS	aspS	XNR_RS15315	3510486	3512270	aspartate--tRNA ligase		aspS
aspT	aspT // XNR_RS20630	XNR_RS20635	4727279	4728954	aspartate-alanine antiporter		aspT
atpB	atpB // atpE // XNR_RS07265 // XNR_RS07260 // XNR_RS07255 // XNR_RS07250 // atpD // XNR_RS07240	XNR_RS07275	1746999	1747826	F0F1 ATP synthase subunit A		atpB
atpD	atpB // atpE // XNR_RS07265 // XNR_RS07260 // XNR_RS07255 // XNR_RS07250 // atpD // XNR_RS07240	XNR_RS07245	1741168	1742610	F0F1 ATP synthase subunit beta		atpD
atpE	atpB // atpE // XNR_RS07265 // XNR_RS07260 // XNR_RS07255 // XNR_RS07250 // atpD // XNR_RS07240	XNR_RS07270	1746679	1746915	ATP synthase F0 subunit C		atpE
bcp	bcp	XNR_RS08800	2095918	2096385	thioredoxin-dependent thiol peroxidase		bcp
bfr	bfr	XNR_RS23600	5417994	5418473	bacterioferritin		bfr
bioB	bioB // XNR_RS27575 // bioD	XNR_RS27580	6281292	6282515	biotin synthase BioB		bioB
