HOG	OG	Gene Tree Parent Clade	bsu2	ecol2	mtub2	pae2	sac2	salb2	sen2
N1.HOG0000000	OG0000000	n1	BSU_15910	b1093	Rv1483	PA2967		XNR_RS24800	STM1195
N1.HOG0000001	OG0000000	n9				PA4389		XNR_RS27235	
N1.HOG0000002	OG0000000	n11			Rv2002			XNR_RS25470	
N1.HOG0000003	OG0000000	n13			Rv2857c, Rv1941	PA1649		XNR_RS25880, XNR_RS18085, XNR_RS04485, XNR_RS04475, XNR_RS04960, XNR_RS20760	
N1.HOG0000004	OG0000000	n25	BSU_38970			PA2003		XNR_RS00260	
N1.HOG0000005	OG0000000	n27	BSU_18500		Rv1050, Rv1865c	PA3957, PA4148			
N1.HOG0000006	OG0000000	n31		b2426					STM2445
N1.HOG0000007	OG0000000	n33			Rv0687, Rv2750			XNR_RS04510	
N1.HOG0000008	OG0000000	n42	BSU_29420						
N1.HOG0000009	OG0000000	n43	BSU_22140	b2842, b2774, b4266		PA4098, PA3387			STM3017, STM4483
N1.HOG0000010	OG0000000	n52		b2137	Rv1928c				STM2171
N1.HOG0000011	OG0000000	n57	BSU_12350		Rv0927c, Rv3549c, Rv2766c	PA1828		XNR_RS24855, XNR_RS27240	
N1.HOG0000012	OG0000000	n63	BSU_14060		Rv1714, Rv3485c	PA2887			
N1.HOG0000013	OG0000000	n67						XNR_RS29155, XNR_RS02895, XNR_RS28775	
N1.HOG0000014	OG0000000	n70	BSU_16870			PA4162, PA5150			
N1.HOG0000015	OG0000000	n76	BSU_08650						
N1.HOG0000016	OG0000000	n77	BSU_32910						
N1.HOG0000017	OG0000000	n78		b2902		PA3128, PA1470		XNR_RS18940, XNR_RS22095	
N1.HOG0000018	OG0000000	n82	BSU_37720, BSU_02830, BSU_03930			PA3106			
N1.HOG0000019	OG0000000	n86	BSU_39840, BSU_13770					XNR_RS03280	
N1.HOG0000020	OG0000000	n88			Rv3530c	PA4089, PA1827, PA5524, PA2515		XNR_RS10170	
N1.HOG0000021	OG0000000	n93	BSU_32000	b0596	Rv3559c	PA5521		XNR_RS02935, XNR_RS16085, XNR_RS22785	STM0598
N1.HOG0000022	OG0000001	n0			Rv0832, Rv0335c, Rv0980c, Rv0978c, Rv2615c, Rv1430, Rv0151c, Rv0160c, Rv0159c, Rv0152c, Rv2408, Rv3653, Rv1803c, Rv0916c, Rv1040c, Rv2769c, Rv1791, Rv1788, Rv3622c, Rv3477, Rv1195, Rv1169c, Rv1806, Rv3507, Rv2107, Rv3514, Rv3508, Rv3511, Rv2519, Rv1983, Rv0977, Rv2371, Rv1450c, Rv1452c, Rv1172c, Rv0297, Rv0578c, Rv0150c, Rv0872c, Rv1243c, Rv1087, Rv1091, Rv1441c, Rv3345c, Rv0834c, Rv1768, Rv0109, Rv3367, Rv1068c, Rv1067c, Rv2591, Rv1468c, Rv3388, Rv2487c, Rv2490c, Rv0754, Rv2853, Rv3812, Rv3595c, Rv2162c, Rv2431c, Rv3590c, Rv1646, Rv1840c, Rv1818c, Rv1325c, Rv2634c, Rv2340c, Rv2396, Rv1088, Rv0833, Rv0747, Rv0279c, Rv0278c, Rv1759c, Rv2741, Rv0742, Rv3652, Rv3650, Rv0746, Rv2328, Rv1214c, Rv1651c, Rv3097c, Rv1396c, Rv0124, Rv0532				
N1.HOG0000023	OG0000002	n1	BSU_04700		Rv1364c			XNR_RS18445, XNR_RS01600, XNR_RS28685, XNR_RS31315, XNR_RS08465, XNR_RS20440, XNR_RS08470, XNR_RS13305, XNR_RS11160, XNR_RS16945, XNR_RS06835, XNR_RS13800, XNR_RS03290, XNR_RS06415, XNR_RS15490, XNR_RS09745, XNR_RS24240, XNR_RS04015, XNR_RS29710, XNR_RS27600, XNR_RS01380, XNR_RS27880, XNR_RS12400, XNR_RS14985, XNR_RS15395, XNR_RS18665, XNR_RS03420, XNR_RS13965, XNR_RS27725, XNR_RS23245, XNR_RS25960, XNR_RS10240, XNR_RS27190, XNR_RS05535, XNR_RS12420, XNR_RS28365, XNR_RS11000, XNR_RS12970, XNR_RS12250, XNR_RS14445, XNR_RS15310, XNR_RS16000, XNR_RS27985, XNR_RS03355, XNR_RS13910, XNR_RS19430, XNR_RS16205, XNR_RS16890	
N1.HOG0000024	OG0000002	n50	BSU_34110		Rv0941c	PA2786		XNR_RS31310, XNR_RS21390, XNR_RS12000, XNR_RS09595, XNR_RS11255, XNR_RS14455, XNR_RS00335, XNR_RS04100	
N1.HOG0000025	OG0000003	n0			Rv3135, Rv2768c, Rv1039c, Rv2770c, Rv1801, Rv1808, Rv1809, Rv1802, Rv1705c, Rv1789, Rv1787, Rv1790, Rv2892c, Rv1706c, Rv3621c, Rv3478, Rv1361c, Rv1196, Rv3136, Rv3532, Rv0915c, Rv2430c, Rv2108, Rv3426, Rv3425, Rv3429, Rv2608, Rv1800, Rv3539, Rv0442c, Rv0755c, Rv3533c, Rv3558, Rv3144c, Rv3159c, Rv3350c, Rv3347c, Rv3343c, Rv0878c, Rv1135c, Rv1753c, Rv1917c, Rv1918c, Rv0305c, Rv1548c, Rv0355c, Rv3125c, Rv2352c, Rv1168c, Rv3873, Rv3738c, Rv3018c, Rv0096, Rv2123, Rv0453, Rv1387, Rv0280, Rv0286, Rv3739c, Rv0256c				
N1.HOG0000026	OG0000004	n1	BSU_08310	b0127	Rv2936	PA2812		XNR_RS29045, XNR_RS20010, XNR_RS11390, XNR_RS15580, XNR_RS16620, XNR_RS12195	STM0172
N1.HOG0000027	OG0000004	n13	BSU_34090		Rv1687c, Rv1458c			XNR_RS17405, XNR_RS10070, XNR_RS14130, XNR_RS09885, XNR_RS06865, XNR_RS24445	
N1.HOG0000028	OG0000004	n26	BSU_02860, BSU_01450						STM2020
N1.HOG0000029	OG0000004	n31	BSU_02750, BSU_01950						
N1.HOG0000030	OG0000004	n35	BSU_09890	b3201		PA4461			STM3319
N1.HOG0000031	OG0000004	n39	BSU_09080, BSU_04490, BSU_02570, BSU_38660		Rv1218c	PA3394, PA3672, PA4037		XNR_RS17720, XNR_RS11220, XNR_RS14510, XNR_RS07525, XNR_RS11770	
N1.HOG0000032	OG0000005	n2	BSU_19310	b3588, b1300, b1385, b0312, b1444	Rv0458, Rv2858c	PA4123, PA1984, PA4022, PA4189, PA0219, PA5312, PA4073, PA5373, PA3504		XNR_RS19845, XNR_RS01790, XNR_RS05850, XNR_RS05885, XNR_RS25875	STM1102, STM3680, STM3129, STM1597
N1.HOG0000033	OG0000005	n27	BSU_31060		Rv0768, Rv0223c	PA2125		XNR_RS19230	
N1.HOG0000034	OG0000005	n38		b1387				XNR_RS10710	
N1.HOG0000035	OG0000005	n40						XNR_RS05790	
N1.HOG0000036	OG0000005	n41	BSU_38830, BSU_07350			PA4899		XNR_RS16955	
N1.HOG0000037	OG0000005	n45	BSU_03210, BSU_37780, BSU_02470						
N1.HOG0000038	OG0000005	n49	BSU_03910	b2661, b1415		PA0265			STM2791
N1.HOG0000039	OG0000006	n1	BSU_19200, BSU_34060	b3669	Rv0844c	PA0601, PA1980		XNR_RS23575, XNR_RS18980, XNR_RS17175, XNR_RS11560, XNR_RS14145, XNR_RS22670	STM3790
N1.HOG0000040	OG0000006	n20	BSU_28920	b2381					
N1.HOG0000041	OG0000006	n21	BSU_02740	b2125					
N1.HOG0000042	OG0000006	n22						XNR_RS18850	STM0347
N1.HOG0000043	OG0000006	n23	BSU_05420					XNR_RS13780, XNR_RS12325	
N1.HOG0000044	OG0000006	n26		b2193, b1221		PA3879			STM2246, STM1767
N1.HOG0000045	OG0000006	n31	BSU_08300, BSU_35490						
N1.HOG0000046	OG0000006	n35	BSU_09330					XNR_RS24865	
N1.HOG0000047	OG0000006	n36	BSU_33080		Rv3133c			XNR_RS04165, XNR_RS15205	
N1.HOG0000048	OG0000006	n39	BSU_38910					XNR_RS02760, XNR_RS10515, XNR_RS07220, XNR_RS24520, XNR_RS23350, XNR_RS26125, XNR_RS11785, XNR_RS00365, XNR_RS17210, XNR_RS25645, XNR_RS15910, XNR_RS22405, XNR_RS13210	
N1.HOG0000049	OG0000007	n1	BSU_10840, BSU_33970, BSU_34630, BSU_35910	b3438, b4264		PA2320		XNR_RS23020, XNR_RS22995, XNR_RS05125	STM2345, STM3696, STM3543, STM4481
N1.HOG0000050	OG0000007	n16		b0345, b1620	Rv3575c			XNR_RS16440, XNR_RS19300, XNR_RS14575, XNR_RS01570, XNR_RS20665, XNR_RS09805, XNR_RS03065, XNR_RS03050, XNR_RS25700, XNR_RS08320, XNR_RS16480, XNR_RS01845, XNR_RS00395	STM3633
N1.HOG0000051	OG0000007	n35	BSU_13870, BSU_40870, BSU_10560, BSU_29740	b1320					
N1.HOG0000052	OG0000007	n39	BSU_12370	b2714, b2837, b2151					STM3012, STM1555, STM3011, STM2191
N1.HOG0000053	OG0000007	n46	BSU_34170	b3934				XNR_RS00790	STM4094
N1.HOG0000054	OG0000007	n49		b1658, b3753					STM1430, STM3886
