Orthogroup	bsu2	ecol2	mtub2	pae2	sac2	salb2	sen2
OG0005262	BSU_00030						
OG0005263	BSU_00050						
OG0005264	BSU_00080						
OG0005265	BSU_00220						
OG0005266	BSU_00230						
OG0005267	BSU_00240						
OG0005268	BSU_00250						
OG0005269	BSU_00290						
OG0005270	BSU_00300						
OG0005271	BSU_00320						
OG0005272	BSU_00330						
OG0005273	BSU_00340						
OG0005274	BSU_00410						
OG0005275	BSU_00430						
OG0005276	BSU_00440						
OG0005277	BSU_00450						
OG0005278	BSU_00490						
OG0005279	BSU_00540						
OG0005280	BSU_00600						
OG0005281	BSU_00610						
OG0005282	BSU_00620						
OG0005283	BSU_00640						
OG0005284	BSU_00650						
OG0005285	BSU_00830						
OG0005286	BSU_00840						
OG0005287	BSU_00850						
OG0005288	BSU_00890						
OG0005289	BSU_00950						
OG0005290	BSU_00970						
OG0005291	BSU_00980						
OG0005292	BSU_00990						
OG0005293	BSU_01140						
OG0005294	BSU_01520						
OG0005295	BSU_01550						
OG0005296	BSU_01560						
OG0005297	BSU_01590						
OG0005298	BSU_01640						
OG0005299	BSU_01710						
OG0005300	BSU_01760						
OG0005301	BSU_01830						
OG0005302	BSU_01845						
OG0005303	BSU_01870						
OG0005304	BSU_01880						
OG0005305	BSU_01910						
OG0005306	BSU_01960						
OG0005307	BSU_01970						
OG0005308	BSU_01990						
OG0005309	BSU_02000						
OG0005310	BSU_02040						
OG0005311	BSU_02050						
OG0005312	BSU_02070						
OG0005313	BSU_02080						
OG0005314	BSU_02100						
OG0005315	BSU_02110						
OG0005316	BSU_02150						
OG0005317	BSU_02190						
OG0005318	BSU_02250						
OG0005319	BSU_02300						
OG0005320	BSU_02340						
OG0005321	BSU_02380						
OG0005322	BSU_02440						
OG0005323	BSU_02450						
OG0005324	BSU_02460						
OG0005325	BSU_02530						
OG0005326	BSU_02540						
OG0005327	BSU_02580						
OG0005328	BSU_02730						
OG0005329	BSU_02760						
OG0005330	BSU_02780						
OG0005331	BSU_02810						
OG0005332	BSU_02890						
OG0005333	BSU_02910						
OG0005334	BSU_02930						
OG0005335	BSU_03030						
OG0005336	BSU_03120						
OG0005337	BSU_03240						
OG0005338	BSU_03250						
OG0005339	BSU_03270						
OG0005340	BSU_03340						
OG0005341	BSU_03400						
OG0005342	BSU_03420						
OG0005343	BSU_03500						
OG0005344	BSU_03540						
OG0005345	BSU_03560						
OG0005346	BSU_03652						
OG0005347	BSU_03660						
OG0005348	BSU_03690						
OG0005349	BSU_03860						
OG0005350	BSU_03920						
OG0005351	BSU_03940						
OG0005352	BSU_03960						
OG0005353	BSU_03970						
OG0005354	BSU_04030						
OG0005355	BSU_04120						
OG0005356	BSU_04130						
OG0005357	BSU_04200						
OG0005358	BSU_04220						
OG0005359	BSU_04230						
OG0005360	BSU_04270						
