,gene,subject,PID,alnLength,mismatchCount,gapOpenCount,queryStart,queryEnd,subjectStart,subjectEnd,eVal,bitScore,gene_length,COV,BBH
0,PA0001,STM3838,64.008,514,137,6,1,514,1,466,0.0,635.0,514,1.0,<=>
4,PA0002,STM3837,55.827,369,158,2,1,367,1,366,2.4500000000000002e-145,413.0,367,1.005449591280654,<=>
5,PA0003,STM3836,40.385,364,205,4,1,360,1,356,1.15e-91,276.0,369,0.986449864498645,<=>
6,PA0004,STM3835,67.826,805,255,3,4,806,2,804,0.0,1131.0,806,0.9987593052109182,<=>
10,PA0006,STM0248,38.065,155,87,3,6,152,8,161,4.6000000000000004e-29,103.0,178,0.8707865168539326,<=>
12,PA0008,STM3655,51.669,689,326,3,1,683,1,688,0.0,644.0,684,1.0073099415204678,<=>
13,PA0009,STM3656,76.431,297,68,1,8,302,6,302,5.12e-177,489.0,315,0.9428571428571428,<=>
14,PA0010,STM3642,53.631,179,79,1,1,175,1,179,2.04e-68,204.0,183,0.9781420765027322,<=>
18,PA0013,STM3579,64.286,196,70,0,19,214,19,214,4.06e-89,259.0,217,0.9032258064516129,<=>
19,PA0016,STM3409,65.284,458,158,1,1,457,1,458,0.0,607.0,457,1.0021881838074398,<=>
21,PA0017,STM3408,50.583,429,206,4,2,430,6,428,1.02e-135,394.0,434,0.988479262672811,<=>
23,PA0018,STM3407,59.554,314,125,1,1,312,1,314,5.879999999999999e-128,365.0,314,1.0,<=>
27,PA0019,STM3406,57.143,168,71,1,1,168,1,167,4.63e-65,194.0,168,1.0,<=>
28,PA0021,STM3405,47.651,298,146,2,71,358,62,359,1.15e-74,233.0,362,0.8232044198895028,<=>
29,PA0022,STM3402,50.847,177,83,3,10,183,13,188,3.79e-51,160.0,185,0.9567567567567568,<=>
32,PA0023,STM4245,60.856,327,126,1,1,325,1,327,1.38e-142,403.0,325,1.0061538461538462,<=>
35,PA0024,STM2451,70.748,294,84,2,8,301,8,299,7.560000000000001e-156,434.0,305,0.9639344262295082,<=>
36,PA0025,STM3401,52.19,274,124,6,1,271,1,270,2.02e-85,253.0,274,1.0,<=>
115,PA0035,STM1727,37.452,259,152,4,1,255,1,253,8.88e-43,144.0,268,0.9664179104477612,<=>
116,PA0036,STM1726,56.579,380,163,2,14,392,9,387,6.55e-158,447.0,402,0.945273631840796,<=>
183,PA0059,STM1563,62.0,150,49,1,1,150,1,142,2.58e-62,185.0,151,0.9933774834437086,<=>
186,PA0066,STM3399,60.674,178,70,0,2,179,4,181,3.4600000000000006e-79,231.0,180,0.9888888888888889,<=>
190,PA0067,STM3594,59.412,680,271,4,3,678,2,680,0.0,803.0,681,0.9985315712187959,<=>
272,PA0077,STM0285,32.146,1123,678,27,45,1100,182,1287,1.4e-136,442.0,1101,1.0199818346957312,<=>
273,PA0078,STM0282,35.772,369,226,3,75,443,75,432,3.85e-62,205.0,449,0.821826280623608,<=>
276,PA0079,STM0281,35.65,446,283,3,1,443,1,445,4.4899999999999995e-90,278.0,444,1.0045045045045045,<=>
278,PA0082,STM0266,33.14,344,201,12,7,329,5,340,3.07e-23,95.9,344,1.0,<=>
279,PA0083,STM0273,70.732,164,48,0,1,164,1,164,1.9600000000000002e-85,246.0,172,0.9534883720930233,<=>
280,PA0084,STM0274,71.429,490,139,1,10,498,11,500,0.0,740.0,498,0.9839357429718876,<=>
281,PA0085,STM0279,45.625,160,84,3,1,159,1,158,2.7399999999999998e-45,143.0,162,0.9876543209876543,<=>
285,PA0086,STM0270,35.659,258,156,6,26,277,14,267,3.0700000000000004e-47,156.0,281,0.9181494661921709,<=>
286,PA0087,STM0269,36.025,161,97,4,2,159,4,161,3.38e-20,79.7,169,0.9526627218934911,<=>
287,PA0088,STM0268,41.176,629,352,10,1,616,1,624,6.29e-153,452.0,619,1.0161550888529887,<=>
288,PA0089,STM0267,38.658,313,175,8,21,324,11,315,2.67e-61,196.0,348,0.8994252873563219,<=>
289,PA0090,STM0272,53.075,878,387,3,2,878,3,856,0.0,891.0,902,0.9733924611973392,<=>
293,PA0091,STM0289,38.56,625,351,12,15,620,109,719,3.16e-135,410.0,643,0.9720062208398134,<=>
295,PA0094,STM0290,29.752,121,77,5,4,118,5,123,2.19e-05,39.3,144,0.8402777777777778,<=>
308,PA0115,STM2312,55.102,147,66,0,3,149,2,148,1.1999999999999998e-48,151.0,150,0.98,<=>
365,PA0128,STM4289,68.182,110,34,1,3,112,2,110,1.5599999999999999e-55,165.0,113,0.9734513274336283,<=>
366,PA0129,STM2793,66.59,434,144,1,13,446,5,437,0.0,571.0,475,0.9136842105263158,<=>
377,PA0130,STM4421,55.289,501,219,3,1,497,1,500,0.0,578.0,497,1.0080482897384306,<=>
425,PA0136,STM4074,35.07,499,293,6,1,486,1,481,4.22e-78,251.0,523,0.9541108986615678,<=>
536,PA0139,STM0608,59.893,187,75,0,1,187,1,187,1.35e-85,247.0,187,1.0,<=>
539,PA0140,STM0609,65.637,518,177,1,1,517,1,518,0.0,689.0,521,0.9942418426103646,<=>
545,PA0143,STM0661,44.118,306,167,4,42,346,5,307,2.3199999999999997e-74,229.0,350,0.8742857142857143,<=>
547,PA0148,STM1463,30.421,309,210,2,8,311,6,314,8.62e-41,142.0,316,0.9778481012658228,<=>
555,PA0152,STM1625,39.259,270,162,2,1,269,35,303,1.24e-55,179.0,275,0.9818181818181818,<=>
584,PA0155,STM1842,32.143,252,162,5,30,277,10,256,9.470000000000001e-35,123.0,279,0.9032258064516129,<=>
660,PA0168,STM3985,38.503,187,103,4,13,190,15,198,2.1400000000000002e-33,115.0,196,0.9540816326530612,<=>
672,PA0173,STM1917,59.347,337,137,0,3,339,4,340,1.73e-143,407.0,349,0.9656160458452722,<=>
696,PA0175,STM1918,55.344,262,106,4,22,278,27,282,6.48e-92,271.0,280,0.9357142857142857,<=>
706,PA0177,STM1920,67.114,149,49,0,13,161,16,164,1.1399999999999999e-69,205.0,161,0.9254658385093167,<=>
787,PA0182,STM1675,50.417,240,110,2,11,250,7,237,1.15e-74,224.0,250,0.96,<=>
799,PA0183,STM3122,38.951,534,297,11,2,527,23,535,3.22e-119,360.0,536,0.996268656716418,<=>
942,PA0196,STM1480,51.037,482,211,7,1,477,1,462,4.78e-157,451.0,478,1.00836820083682,<=>
1086,PA0209,STM0619,37.234,282,165,7,15,286,18,297,1.58e-25,100.0,293,0.962457337883959,<=>
1200,PA0229,STM2654,73.284,408,109,0,12,419,17,424,0.0,592.0,432,0.9444444444444444,<=>
1289,PA0237,STM4433,20.767,313,221,11,5,296,4,310,2.34e-12,63.9,347,0.9020172910662824,<=>
1295,PA0241,STM3134,28.753,393,254,5,31,406,5,388,6.07e-52,177.0,441,0.891156462585034,<=>
1327,PA0246,STM1843,30.769,429,264,13,4,418,11,420,8.6e-35,132.0,501,0.8562874251497006,<=>
1382,PA0249,STM3643,37.815,119,73,1,7,124,2,120,2.2899999999999998e-23,86.7,148,0.8040540540540541,<=>
1389,PA0257,STM0947,70.233,215,64,0,49,263,2,216,3.65e-108,309.0,263,0.8174904942965779,<=>
1395,PA0265,STM2791,80.457,481,94,0,1,481,1,481,0.0,814.0,483,0.9958592132505176,<=>
1408,PA0266,STM2792,72.512,422,116,0,3,424,2,423,0.0,656.0,426,0.9906103286384976,<=>
1440,PA0269,STM2804,39.716,141,85,0,2,142,3,143,9.09e-37,120.0,145,0.9724137931034482,<=>
1457,PA0277,STM0979,61.024,254,96,3,1,252,1,253,8.56e-111,316.0,252,1.007936507936508,<=>
1461,PA0280,STM2441,57.643,314,110,3,1,291,1,314,5.78e-118,342.0,329,0.9544072948328267,<=>
1546,PA0281,STM2442,50.929,269,132,0,21,289,18,286,2.23e-96,283.0,289,0.9307958477508651,<=>
1556,PA0282,STM2443,49.438,267,132,1,2,268,6,269,2.43e-83,248.0,272,0.9816176470588235,<=>
1572,PA0283,STM4063,64.839,310,107,2,20,328,18,326,2.39e-143,405.0,332,0.9337349397590361,<=>
1593,PA0287,STM3382,29.213,445,270,20,1,413,1,432,2.2800000000000002e-21,93.6,461,0.96529284164859,<=>
1597,PA0288,STM3078,40.942,276,141,6,23,290,19,280,1.8200000000000002e-59,190.0,318,0.8679245283018868,<=>
1649,PA0302,STM0878,62.983,362,128,3,22,382,19,375,3.8500000000000004e-156,441.0,384,0.9427083333333334,<=>
