,gene,subject,PID,alnLength,mismatchCount,gapOpenCount,queryStart,queryEnd,subjectStart,subjectEnd,eVal,bitScore,gene_length,COV,BBH
2,Rv0002,PA0002,28.571,392,251,9,13,400,1,367,2.15e-35,131.0,402,0.9751243781094527,<=>
3,Rv0003,PA0003,27.119,354,224,10,17,363,17,343,3.37e-16,76.6,385,0.9194805194805195,<=>
7,Rv0006,PA3168,42.873,891,423,8,15,826,8,891,0.0,703.0,838,1.0632458233890214,<=>
9,Rv0009,PA1793,35.393,178,81,10,19,181,4,162,1.93e-12,59.7,182,0.978021978021978,<=>
11,Rv0013,PA0649,51.244,201,90,3,3,198,2,199,9.49e-63,192.0,232,0.8663793103448276,<=>
44,Rv0034,PA1817,30.973,113,75,2,9,119,7,118,0.000608,35.0,131,0.8625954198473282,<=>
63,Rv0038,PA0405,31.111,180,103,5,24,192,13,182,4.95e-16,70.5,202,0.8910891089108911,<=>
64,Rv0041,PA3987,37.46,937,458,23,66,968,29,871,4.6900000000000006e-167,508.0,969,0.9669762641898865,<=>
97,Rv0056,PA4932,36.424,151,93,2,1,151,1,148,2.03e-20,79.3,152,0.993421052631579,<=>
102,Rv0066,PA2624,67.663,736,236,2,8,743,7,740,0.0,1054.0,745,0.9879194630872483,<=>
112,Rv0068,PA5031,47.249,309,151,4,1,300,1,306,6.95e-70,216.0,303,1.0198019801980198,<=>
134,Rv0069,PA2443,55.769,468,190,6,1,461,1,458,8.090000000000001e-169,480.0,461,1.0151843817787418,<=>
136,Rv0070,PA4602,56.532,421,175,4,1,419,1,415,2.63e-161,458.0,425,0.9905882352941177,<=>
255,Rv0078,PA2270,34.01,197,127,2,3,199,1,194,5.02e-26,97.1,201,0.9800995024875622,<=>
289,Rv0092,PA3920,41.656,749,394,12,9,740,68,790,4.68e-158,476.0,761,0.9842312746386334,<=>
405,Rv0106,PA5535,28.01,382,227,14,23,373,32,396,1.73e-25,104.0,398,0.9597989949748744,<=>
430,Rv0117,PA5179,33.564,289,183,2,1,289,1,280,1.8e-36,130.0,314,0.9203821656050956,<=>
557,Rv0130,PA4015,49.306,144,72,1,4,146,3,146,1.41e-46,146.0,151,0.9536423841059603,<=>
609,Rv0139,PA4631,27.07,314,206,10,7,311,17,316,1.08e-11,62.4,340,0.9235294117647059,<=>
628,Rv0147,PA0366,39.619,472,271,6,41,506,11,474,5.45e-106,322.0,506,0.932806324110672,<=>
648,Rv0148,PA3427,56.884,276,114,3,6,279,9,281,7.05e-103,300.0,286,0.965034965034965,<=>
685,Rv0149,PA5234,41.033,329,180,6,1,321,1,323,5.5799999999999996e-67,210.0,322,1.0217391304347827,<=>
699,Rv0154,PA2550,58.942,397,154,5,2,393,6,398,1.11e-158,450.0,403,0.9851116625310173,<=>
721,Rv0155,PA0195,48.485,363,176,3,10,362,2,363,6.63e-108,318.0,366,0.9918032786885246,<=>
722,Rv0156,PA0195.1,44.565,92,49,1,6,97,8,97,2.75e-17,68.6,110,0.8363636363636363,<=>
723,Rv0157,PA0196,46.122,477,235,7,6,468,5,473,2.17e-125,371.0,475,1.0042105263157894,<=>
740,Rv0161,PA1416,38.389,422,238,10,37,443,40,454,2.01e-59,199.0,449,0.9398663697104677,<=>
745,Rv0162,PA3629,35.734,361,216,5,32,379,13,370,3.51e-71,224.0,383,0.9425587467362925,<=>
755,Rv0163,PA5185,43.448,145,77,2,1,145,1,140,1.73e-39,128.0,151,0.9602649006622517,<=>
768,Rv0166,PA4198,33.647,532,295,19,32,526,24,534,2.68e-62,211.0,554,0.9602888086642599,<=>
813,Rv0181,PA1210,41.379,232,128,6,8,235,4,231,8.229999999999999e-42,140.0,244,0.9508196721311475,<=>
832,Rv0186,PA1726,30.382,655,381,25,70,670,117,750,2.0800000000000002e-59,211.0,691,0.9479015918958031,<=>
835,Rv0189,PA0353,39.934,606,306,9,20,573,5,604,4.0799999999999996e-134,401.0,575,1.0539130434782609,<=>
839,Rv0191,PA2092,31.933,357,225,6,25,376,15,358,1.54e-25,104.0,413,0.864406779661017,<=>
1036,Rv0196,PA0475,30.978,184,118,2,6,185,9,187,1.78e-22,87.0,194,0.9484536082474226,<=>
1042,Rv0197,PA2714,53.219,761,328,5,3,740,5,760,0.0,761.0,762,0.9986876640419947,<=>
1049,Rv0208,PA0382,37.668,223,132,2,30,252,6,221,1.1199999999999999e-40,137.0,263,0.8479087452471483,<=>
1149,Rv0234,PA0265,36.739,460,278,3,57,510,28,480,5.6e-85,268.0,511,0.9001956947162426,<=>
1186,Rv0241,PA4788,37.778,225,135,5,23,245,28,249,1.66e-36,129.0,280,0.8035714285714286,<=>
1189,Rv0242,PA4786,50.0,458,211,6,7,454,2,451,9.04e-128,375.0,454,1.0088105726872247,<=>
1231,Rv0243,PA4785,63.785,428,146,4,13,439,5,424,0.0,529.0,440,0.9727272727272728,<=>
1241,Rv0244,PA0507,36.06,599,344,14,1,587,1,572,1.23e-95,303.0,611,0.9803600654664485,<=>
1266,Rv0252,PA1781,37.091,825,474,21,15,818,5,805,2.02e-146,449.0,853,0.9671746776084408,<=>
1279,Rv0254,PA1278,37.714,175,91,6,1,169,1,163,1.84e-16,70.5,174,1.0057471264367817,<=>
1280,Rv0255,PA1277,48.871,487,226,8,4,477,8,484,1.3800000000000002e-123,367.0,494,0.9858299595141701,<=>
