sequence_ID,score,locus_tag,gene_name,PFAMs,start,end,strand,gene_product,COG,operon,family,conserved,Orthogroup,eggNOG_OGs,comments
WP_003952326.1,0.9789,XNR_RS00130,fruR,"DeoRC,HTH_DeoR",42345,43106,+,DeoR/GlpR family DNA-binding transcription regulator,Transcription,Op20,DeoR,N6,OG0000093,2GKWM,
WP_003950769.1,0.9969,XNR_RS07815,dasR,"GntR,UTRA",1865970,1866758,+,GntR family transcriptional regulator,Transcription,Op1148,GntR,N6,OG0000070,2GJZ1,"Master regulator of antibiotic BGCs, Responsible for aerial mycelium formation. Involved in control of all GlcNAc-related genes and the N-acetylglucosamine regulon."
WP_003948195.1,,XNR_RS20690,adpA,"DJ-1_PfpI,HTH_18",4738977,4740197,-,helix-turn-helix domain-containing protein,Transcription,Op3129,AraC,N6,OG0000074,2GIRA,Global regulator of BGCs. Activates the regulon including strR. Central transcriptional regulator; AdpA represses the transcription of wblA in S. coelicolor
WP_003951083.1,0.8794,XNR_RS06235,ltbR,"HTH_IclR,IclR",1507771,1508487,+,IclR family transcriptional regulator NdgR,Transcription,Op921,IclR,N6,OG0002180,2GKB0,"NdgR may act as a pleiotopic effector, connecting primary and secondary metabolism in coelicolor. It is also a global transcriptional regulator involved in branched-chain amino acid biosynthesis and sulfur assimilation."
WP_003951335.1,0.9997,XNR_RS05005,cutR,"Response_reg,Trans_reg_C",1204374,1205027,-,response regulator transcription factor,Signal transduction mechanisms,Op733,OmpR,N6,OG0000006,2GKYV,
WP_015508329.1,0.7876,XNR_RS29085,LuxR,"AAA_16,GerE",6709373,6712279,+,LuxR family transcriptional regulator,Transcription,Op4380,LuxR,Sal,OG0002076,2GJIA,
WP_003952091.1,0.7973,XNR_RS01290,XNR_RS01290,"Cupin_2,HTH_31",314747,315364,-,XRE family transcriptional regulator,Transcription,Op207,Xre,N6,OG0000205,2GNKQ,
WP_015507123.1,0.7152,XNR_RS07900,XNR_RS07900,TetR_N,1885426,1886043,-,TetR/AcrR family transcriptional regulator,Transcription,Op1160,TetR,Sal,OG0002709,2GMDA,
WP_003949208.1,0.97,XNR_RS15695,XNR_RS15695,GntR,3613672,3614091,-,GntR family transcriptional regulator,Transcription,Op2365,GntR,Sal,OG0000285,2IHTD,
WP_003951376.1,0.9966,XNR_RS04795,XNR_RS04795,"DeoRC,HTH_DeoR",1139018,1139779,+,DeoR/GlpR family DNA-binding transcription regulator,Transcription,Op711,DeoR,N6,OG0000093,2GKWM,
WP_010645181.1,0.9992,XNR_RS17160,XNR_RS17160,HTH_20,3972112,3973059,+,winged helix-turn-helix domain-containing protein,Transcription,Op2605,HTH,Sal,OG0001664,2GP04,
WP_015507350.1,0.8003,XNR_RS11560,amfR,"GerE,Response_reg",2717763,2718500,+,response regulator transcription factor,Transcription,Op1731,GerE,N6,OG0000826,2GP9B,
WP_008408073.1,0.555,XNR_RS29100,PHTH,"GerE,PAS_4",6718732,6719427,+,PAS and helix-turn-helix domain-containing protein,Transcription,Op4383,bHLH-PAS,unknown,,2I9FR,
WP_003951343.1,0.9213,XNR_RS04965,XNR_RS04965,TetR_N,1197904,1198548,-,TetR/AcrR family transcriptional regulator,Transcription,Op729,TetR,N6,OG0006131,,
WP_003950748.1,0.7453,XNR_RS07915,catR,FUR,1888683,1889099,+,Fur family transcriptional regulator,Inorganic ion transport and metabolism,Op1163,Fur,N6,OG0002676,2IFBR,
