,gene,subject,PID,alnLength,mismatchCount,gapOpenCount,queryStart,queryEnd,subjectStart,subjectEnd,eVal,bitScore,gene_length,COV,BBH
3,b0004,PA3735,34.052,464,267,11,1,427,1,462,6.01e-75,239.0,428,1.0841121495327102,<=>
4,b0006,PA3539,66.142,254,86,0,1,254,1,254,6.320000000000001e-125,353.0,258,0.9844961240310077,<=>
5,b0007,PA3641,51.392,467,219,2,6,472,10,468,4.4100000000000004e-164,469.0,476,0.9810924369747899,<=>
8,b0008,PA2796,60.968,310,111,4,1,310,1,300,4.3300000000000005e-129,368.0,317,0.9779179810725552,<=>
11,b0014,PA4761,78.281,640,134,3,1,638,1,637,0.0,1010.0,638,1.0031347962382444,<=>
15,b0015,PA4760,66.755,379,119,3,1,374,1,377,7.73e-175,489.0,376,1.0079787234042554,<=>
68,b0023,PA4563,59.77,87,35,0,1,87,1,87,2.2300000000000002e-29,98.2,87,1.0,<=>
69,b0025,PA4561,56.463,294,125,3,1,293,1,292,1.2500000000000001e-105,308.0,313,0.939297124600639,<=>
70,b0026,PA4560,57.474,950,385,8,1,938,1,943,0.0,1107.0,938,1.0127931769722816,<=>
75,b0027,PA4559,46.497,157,79,3,10,164,10,163,5.6600000000000004e-36,120.0,164,0.9573170731707317,<=>
76,b0028,PA4558,42.568,148,81,3,1,146,1,146,3.68e-38,124.0,149,0.9932885906040269,<=>
79,b0029,PA4557,67.203,311,101,1,1,310,1,311,3.27e-147,414.0,316,0.9841772151898734,<=>
81,b0031,PA4759,62.782,266,98,1,7,271,3,268,1.65e-113,325.0,273,0.9743589743589743,<=>
82,b0032,PA4758,71.164,378,109,0,1,378,1,378,0.0,560.0,382,0.9895287958115183,<=>
85,b0033,PA4756,76.328,1073,253,1,1,1073,1,1072,0.0,1687.0,1073,1.0,<=>
116,b0037,PA3924,27.734,512,328,15,37,517,43,543,3.2400000000000003e-47,170.0,517,0.9903288201160542,<=>
153,b0039,PA1631,32.153,367,239,6,16,377,19,380,1.83e-52,176.0,380,0.9657894736842105,<=>
191,b0045,PA4187,39.955,443,255,6,2,436,3,442,5.57e-89,275.0,443,1.0,<=>
219,b0048,PA0350,44.242,165,84,3,2,159,5,168,9.07e-39,127.0,159,1.0377358490566038,<=>
220,b0049,PA0590,52.529,257,121,1,1,256,1,257,1.22e-91,270.0,280,0.9178571428571428,<=>
222,b0050,PA0591,52.5,120,57,0,6,125,7,126,1.95e-45,141.0,125,0.96,<=>
223,b0051,PA0592,53.64,261,114,3,9,266,7,263,3.52e-93,273.0,273,0.9560439560439561,<=>
224,b0052,PA0593,62.229,323,121,1,6,327,4,326,3.38e-137,390.0,329,0.9817629179331308,<=>
226,b0053,PA0594,39.716,423,249,4,5,425,10,428,8.22e-106,317.0,428,0.9883177570093458,<=>
236,b0054,PA0595,30.378,767,460,17,67,781,173,917,3.31e-107,347.0,784,0.9783163265306123,<=>
238,b0058,PA3246,51.22,205,98,2,16,219,8,211,3.17e-68,206.0,219,0.9360730593607306,<=>
242,b0059,PA3308,52.697,964,429,9,6,965,9,949,0.0,960.0,968,0.9958677685950413,<=>
245,b0060,PA1886,69.437,782,236,3,5,783,6,787,0.0,1104.0,783,0.9987228607918263,<=>
388,b0068,PA4687,26.715,277,183,9,18,284,27,293,9.14e-08,50.1,327,0.8470948012232415,<=>
391,b0071,PA3120,62.437,197,66,3,5,193,4,200,1.79e-86,251.0,201,0.9800995024875622,<=>
392,b0072,PA3121,63.113,469,167,2,3,465,4,472,0.0,602.0,466,1.0064377682403434,<=>
397,b0073,PA3118,55.462,357,153,5,1,355,1,353,1.09e-136,391.0,363,0.9834710743801653,<=>
400,b0074,PA3792,23.396,530,350,14,6,497,70,581,2.6800000000000003e-21,94.7,523,1.0133843212237095,<=>
404,b0076,PA2121,32.872,289,183,6,29,311,15,298,2.36e-40,140.0,314,0.9203821656050956,<=>
439,b0077,PA4696,63.715,576,205,3,1,574,1,574,0.0,776.0,574,1.0034843205574913,<=>
449,b0078,PA4695,65.432,162,55,1,1,162,1,161,8.7e-76,221.0,163,0.9938650306748467,<=>
450,b0080,PA3563,46.809,329,173,2,1,328,1,328,5.68e-92,275.0,334,0.9850299401197605,<=>
454,b0081,PA4421,51.974,152,72,1,1,152,1,151,7.13e-55,167.0,152,1.0,<=>
455,b0082,PA4420,55.556,315,131,4,1,310,1,311,4.44e-116,335.0,313,1.0063897763578276,<=>
457,b0084,PA4418,45.28,572,301,6,22,587,13,578,7.98e-164,477.0,588,0.9727891156462585,<=>
461,b0085,PA4417,49.784,464,221,4,22,483,18,471,6.9500000000000005e-133,391.0,495,0.9373737373737374,<=>
